,Averaged Precision,Averaged Recall,Total TP count,Total GT count,Total FP count,Calculated Precision from TP/FP,Calculated Recall from TP/FP,Added report,note
mining_site_name,0.8274078369140625,0.8274078369140625,5.0,11.0,6.0,0.45454545454545453,0.45454545454545453,"024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5_NI_43-101_Technical_Report_for_the_Lorraine-Jajay_Project_in_North_America_dated_February_2008_summary, 026b22dd9cce535c80d578f5598ade2801434de617f98c423706b74b21b3ae0842_NI_43-101_Technical_Report_for_the_Rovina_Valley_Project_in_Europe_Romania_dated_January_2009_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary, 02d68d7253a5ba5f137bfa8bc8343698b68c5582f8b4059a4c91e9434a1377289c_NI_43-101_Technical_Report_for_the_Whistler_Project_in_Alaska_United_States_dated_March_2016_summary, 0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907_NI_43-101_Technical_Report_for_the_Red_Chris_project_in_Canada_dated_June_2021_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary","Added the evaluation for mining site names.
    "
country_observed_name,0.2208719253540039,0.2208719253540039,8.0,11.0,2.0,0.8,0.7272727272727273,"024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5_NI_43-101_Technical_Report_for_the_Lorraine-Jajay_Project_in_North_America_dated_February_2008_summary, 026b22dd9cce535c80d578f5598ade2801434de617f98c423706b74b21b3ae0842_NI_43-101_Technical_Report_for_the_Rovina_Valley_Project_in_Europe_Romania_dated_January_2009_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary, 02d68d7253a5ba5f137bfa8bc8343698b68c5582f8b4059a4c91e9434a1377289c_NI_43-101_Technical_Report_for_the_Whistler_Project_in_Alaska_United_States_dated_March_2016_summary, 0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907_NI_43-101_Technical_Report_for_the_Red_Chris_project_in_Canada_dated_June_2021_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary","Added the evaluation for mining site names.
    "
state_or_province_observed_name,0.1725921630859375,0.1725921630859375,6.0,11.0,2.0,0.75,0.5454545454545454,"024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5_NI_43-101_Technical_Report_for_the_Lorraine-Jajay_Project_in_North_America_dated_February_2008_summary, 026b22dd9cce535c80d578f5598ade2801434de617f98c423706b74b21b3ae0842_NI_43-101_Technical_Report_for_the_Rovina_Valley_Project_in_Europe_Romania_dated_January_2009_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary, 02d68d7253a5ba5f137bfa8bc8343698b68c5582f8b4059a4c91e9434a1377289c_NI_43-101_Technical_Report_for_the_Whistler_Project_in_Alaska_United_States_dated_March_2016_summary, 0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907_NI_43-101_Technical_Report_for_the_Red_Chris_project_in_Canada_dated_June_2021_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary","Added the evaluation for mining site names.
    "
authors,1.0,0.9660944938659668,24.0,28.0,0.0,1.0,0.8571428571428571,"024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5_NI_43-101_Technical_Report_for_the_Lorraine-Jajay_Project_in_North_America_dated_February_2008_summary, 026b22dd9cce535c80d578f5598ade2801434de617f98c423706b74b21b3ae0842_NI_43-101_Technical_Report_for_the_Rovina_Valley_Project_in_Europe_Romania_dated_January_2009_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary, 02d68d7253a5ba5f137bfa8bc8343698b68c5582f8b4059a4c91e9434a1377289c_NI_43-101_Technical_Report_for_the_Whistler_Project_in_Alaska_United_States_dated_March_2016_summary, 0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907_NI_43-101_Technical_Report_for_the_Red_Chris_project_in_Canada_dated_June_2021_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary","Added the evaluation for mining site names.
    "
year,1.0,1.0,11.0,11.0,0.0,1.0,1.0,"024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5_NI_43-101_Technical_Report_for_the_Lorraine-Jajay_Project_in_North_America_dated_February_2008_summary, 026b22dd9cce535c80d578f5598ade2801434de617f98c423706b74b21b3ae0842_NI_43-101_Technical_Report_for_the_Rovina_Valley_Project_in_Europe_Romania_dated_January_2009_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary, 02d68d7253a5ba5f137bfa8bc8343698b68c5582f8b4059a4c91e9434a1377289c_NI_43-101_Technical_Report_for_the_Whistler_Project_in_Alaska_United_States_dated_March_2016_summary, 0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907_NI_43-101_Technical_Report_for_the_Red_Chris_project_in_Canada_dated_June_2021_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary","Added the evaluation for mining site names.
    "
month,1.0,1.0,11.0,11.0,0.0,1.0,1.0,"024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5_NI_43-101_Technical_Report_for_the_Lorraine-Jajay_Project_in_North_America_dated_February_2008_summary, 026b22dd9cce535c80d578f5598ade2801434de617f98c423706b74b21b3ae0842_NI_43-101_Technical_Report_for_the_Rovina_Valley_Project_in_Europe_Romania_dated_January_2009_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary, 02d68d7253a5ba5f137bfa8bc8343698b68c5582f8b4059a4c91e9434a1377289c_NI_43-101_Technical_Report_for_the_Whistler_Project_in_Alaska_United_States_dated_March_2016_summary, 0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907_NI_43-101_Technical_Report_for_the_Red_Chris_project_in_Canada_dated_June_2021_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary","Added the evaluation for mining site names.
    "
commodity_observed_name,0.5251191228024873,0.637901782989502,94.0,96.0,761.0,0.10994152046783626,0.9791666666666666,"024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5_NI_43-101_Technical_Report_for_the_Lorraine-Jajay_Project_in_North_America_dated_February_2008_summary, 026b22dd9cce535c80d578f5598ade2801434de617f98c423706b74b21b3ae0842_NI_43-101_Technical_Report_for_the_Rovina_Valley_Project_in_Europe_Romania_dated_January_2009_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary, 02d68d7253a5ba5f137bfa8bc8343698b68c5582f8b4059a4c91e9434a1377289c_NI_43-101_Technical_Report_for_the_Whistler_Project_in_Alaska_United_States_dated_March_2016_summary, 0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907_NI_43-101_Technical_Report_for_the_Red_Chris_project_in_Canada_dated_June_2021_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary","Added the evaluation for mining site names.
    "
category_observed_name,0.5208242609433317,0.5945378939310709,82.0,96.0,773.0,0.09590643274853801,0.8541666666666666,"024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5_NI_43-101_Technical_Report_for_the_Lorraine-Jajay_Project_in_North_America_dated_February_2008_summary, 026b22dd9cce535c80d578f5598ade2801434de617f98c423706b74b21b3ae0842_NI_43-101_Technical_Report_for_the_Rovina_Valley_Project_in_Europe_Romania_dated_January_2009_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary, 02d68d7253a5ba5f137bfa8bc8343698b68c5582f8b4059a4c91e9434a1377289c_NI_43-101_Technical_Report_for_the_Whistler_Project_in_Alaska_United_States_dated_March_2016_summary, 0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907_NI_43-101_Technical_Report_for_the_Red_Chris_project_in_Canada_dated_June_2021_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary","Added the evaluation for mining site names.
    "
ore_unit_observed_name,0.7665179341428193,0.818950891494751,95.0,96.0,760.0,0.1111111111111111,0.9895833333333334,"024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5_NI_43-101_Technical_Report_for_the_Lorraine-Jajay_Project_in_North_America_dated_February_2008_summary, 026b22dd9cce535c80d578f5598ade2801434de617f98c423706b74b21b3ae0842_NI_43-101_Technical_Report_for_the_Rovina_Valley_Project_in_Europe_Romania_dated_January_2009_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary, 02d68d7253a5ba5f137bfa8bc8343698b68c5582f8b4059a4c91e9434a1377289c_NI_43-101_Technical_Report_for_the_Whistler_Project_in_Alaska_United_States_dated_March_2016_summary, 0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907_NI_43-101_Technical_Report_for_the_Red_Chris_project_in_Canada_dated_June_2021_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary","Added the evaluation for mining site names.
    "
ore_value,0.031160183184542636,0.1775080362955729,56.0,96.0,799.0,0.06549707602339182,0.5833333333333334,"024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5_NI_43-101_Technical_Report_for_the_Lorraine-Jajay_Project_in_North_America_dated_February_2008_summary, 026b22dd9cce535c80d578f5598ade2801434de617f98c423706b74b21b3ae0842_NI_43-101_Technical_Report_for_the_Rovina_Valley_Project_in_Europe_Romania_dated_January_2009_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary, 02d68d7253a5ba5f137bfa8bc8343698b68c5582f8b4059a4c91e9434a1377289c_NI_43-101_Technical_Report_for_the_Whistler_Project_in_Alaska_United_States_dated_March_2016_summary, 0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907_NI_43-101_Technical_Report_for_the_Red_Chris_project_in_Canada_dated_June_2021_summary, 021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445_NI_43-101_Technical_Report_for_the_Red_Chris_Project_in_North_America_dated_May_2010_summary","Added the evaluation for mining site names.
    "
