,Averaged Precision,Averaged Recall,Total TP count,Total GT count,Total FP count,Calculated Precision from TP/FP,Calculated Recall from TP/FP,Added report,note
country_observed_name,1.0,1.0,17.0,17.0,0.0,1.0,1.0,"02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795_NI_43-101_Technical_Report_for_the_Montviel_Project_in_North_America_dated_November_2011_summary, 02803cfd4ec0dbf1737007ec5c679c3d4ac44087e8a3514cc9a959584936e829cb_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_North_America_dated_2017_summary, 021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe_NI_43-101_Technical_Report_for_the_Aley_Project_in_North_America_dated_March_2012_summary, 02b9ba7f8441a85820598cf896e53ed2d92d08c594e3dec861824d50ea45e3299e_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_Canada_dated_October_2020_summary, 02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef_NI_43-101_Technical_Report_for_the_Crevier_Project_in_North_America_dated_2011_summary, 020548e1aca4c1ca222149e11a79f15bd7594c02eb12163a1793a782fc2ec3619c_NI_43-101_Technical_Report_for_the_Crater_Lake_project_in_Canada_dated_September_2021_summary, 02a3813b610d66c8ca0c3dc7ffb99f879b7696ddde59af5b9b4f5b89b29740f745_NI_43-101_Technical_Report_for_the_Niobec_Project_in_North_America_dated_June_2011_summary, 02385db31dc0fc04c2c0a598cabd5d8a0cc2c990002d04c5b1ec8e3e6795d8c8ef_NI_43-101_Technical_Report_for_the_Wicheeda_project_in_Canada_dated_November_2021_summary, 02fbe6e649215a04386141250f3d6657f3887371021baf75e756ee8248ce018f0c_NI_43-101_Technical_Report_for_the_Deep_Fox_Project_in_Canada_dated_September_2019_summary"," Test run that now we normalize country/state or province. Also removing any reports that have no mineral inventory in either ground truth or in the predicted extractions.
    "
state_or_province_observed_name,1.0,1.0,17.0,17.0,0.0,1.0,1.0,"02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795_NI_43-101_Technical_Report_for_the_Montviel_Project_in_North_America_dated_November_2011_summary, 02803cfd4ec0dbf1737007ec5c679c3d4ac44087e8a3514cc9a959584936e829cb_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_North_America_dated_2017_summary, 021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe_NI_43-101_Technical_Report_for_the_Aley_Project_in_North_America_dated_March_2012_summary, 02b9ba7f8441a85820598cf896e53ed2d92d08c594e3dec861824d50ea45e3299e_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_Canada_dated_October_2020_summary, 02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef_NI_43-101_Technical_Report_for_the_Crevier_Project_in_North_America_dated_2011_summary, 020548e1aca4c1ca222149e11a79f15bd7594c02eb12163a1793a782fc2ec3619c_NI_43-101_Technical_Report_for_the_Crater_Lake_project_in_Canada_dated_September_2021_summary, 02a3813b610d66c8ca0c3dc7ffb99f879b7696ddde59af5b9b4f5b89b29740f745_NI_43-101_Technical_Report_for_the_Niobec_Project_in_North_America_dated_June_2011_summary, 02385db31dc0fc04c2c0a598cabd5d8a0cc2c990002d04c5b1ec8e3e6795d8c8ef_NI_43-101_Technical_Report_for_the_Wicheeda_project_in_Canada_dated_November_2021_summary, 02fbe6e649215a04386141250f3d6657f3887371021baf75e756ee8248ce018f0c_NI_43-101_Technical_Report_for_the_Deep_Fox_Project_in_Canada_dated_September_2019_summary"," Test run that now we normalize country/state or province. Also removing any reports that have no mineral inventory in either ground truth or in the predicted extractions.
    "
authors,0.8877777777777778,0.9377777777777777,52.0,54.0,10.0,0.8387096774193549,0.9629629629629629,"02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795_NI_43-101_Technical_Report_for_the_Montviel_Project_in_North_America_dated_November_2011_summary, 02803cfd4ec0dbf1737007ec5c679c3d4ac44087e8a3514cc9a959584936e829cb_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_North_America_dated_2017_summary, 021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe_NI_43-101_Technical_Report_for_the_Aley_Project_in_North_America_dated_March_2012_summary, 02b9ba7f8441a85820598cf896e53ed2d92d08c594e3dec861824d50ea45e3299e_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_Canada_dated_October_2020_summary, 02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef_NI_43-101_Technical_Report_for_the_Crevier_Project_in_North_America_dated_2011_summary, 020548e1aca4c1ca222149e11a79f15bd7594c02eb12163a1793a782fc2ec3619c_NI_43-101_Technical_Report_for_the_Crater_Lake_project_in_Canada_dated_September_2021_summary, 02a3813b610d66c8ca0c3dc7ffb99f879b7696ddde59af5b9b4f5b89b29740f745_NI_43-101_Technical_Report_for_the_Niobec_Project_in_North_America_dated_June_2011_summary, 02385db31dc0fc04c2c0a598cabd5d8a0cc2c990002d04c5b1ec8e3e6795d8c8ef_NI_43-101_Technical_Report_for_the_Wicheeda_project_in_Canada_dated_November_2021_summary, 02fbe6e649215a04386141250f3d6657f3887371021baf75e756ee8248ce018f0c_NI_43-101_Technical_Report_for_the_Deep_Fox_Project_in_Canada_dated_September_2019_summary"," Test run that now we normalize country/state or province. Also removing any reports that have no mineral inventory in either ground truth or in the predicted extractions.
    "
year,1.0,1.0,17.0,17.0,0.0,1.0,1.0,"02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795_NI_43-101_Technical_Report_for_the_Montviel_Project_in_North_America_dated_November_2011_summary, 02803cfd4ec0dbf1737007ec5c679c3d4ac44087e8a3514cc9a959584936e829cb_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_North_America_dated_2017_summary, 021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe_NI_43-101_Technical_Report_for_the_Aley_Project_in_North_America_dated_March_2012_summary, 02b9ba7f8441a85820598cf896e53ed2d92d08c594e3dec861824d50ea45e3299e_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_Canada_dated_October_2020_summary, 02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef_NI_43-101_Technical_Report_for_the_Crevier_Project_in_North_America_dated_2011_summary, 020548e1aca4c1ca222149e11a79f15bd7594c02eb12163a1793a782fc2ec3619c_NI_43-101_Technical_Report_for_the_Crater_Lake_project_in_Canada_dated_September_2021_summary, 02a3813b610d66c8ca0c3dc7ffb99f879b7696ddde59af5b9b4f5b89b29740f745_NI_43-101_Technical_Report_for_the_Niobec_Project_in_North_America_dated_June_2011_summary, 02385db31dc0fc04c2c0a598cabd5d8a0cc2c990002d04c5b1ec8e3e6795d8c8ef_NI_43-101_Technical_Report_for_the_Wicheeda_project_in_Canada_dated_November_2021_summary, 02fbe6e649215a04386141250f3d6657f3887371021baf75e756ee8248ce018f0c_NI_43-101_Technical_Report_for_the_Deep_Fox_Project_in_Canada_dated_September_2019_summary"," Test run that now we normalize country/state or province. Also removing any reports that have no mineral inventory in either ground truth or in the predicted extractions.
    "
month,1.0,1.0,17.0,17.0,0.0,1.0,1.0,"02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795_NI_43-101_Technical_Report_for_the_Montviel_Project_in_North_America_dated_November_2011_summary, 02803cfd4ec0dbf1737007ec5c679c3d4ac44087e8a3514cc9a959584936e829cb_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_North_America_dated_2017_summary, 021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe_NI_43-101_Technical_Report_for_the_Aley_Project_in_North_America_dated_March_2012_summary, 02b9ba7f8441a85820598cf896e53ed2d92d08c594e3dec861824d50ea45e3299e_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_Canada_dated_October_2020_summary, 02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef_NI_43-101_Technical_Report_for_the_Crevier_Project_in_North_America_dated_2011_summary, 020548e1aca4c1ca222149e11a79f15bd7594c02eb12163a1793a782fc2ec3619c_NI_43-101_Technical_Report_for_the_Crater_Lake_project_in_Canada_dated_September_2021_summary, 02a3813b610d66c8ca0c3dc7ffb99f879b7696ddde59af5b9b4f5b89b29740f745_NI_43-101_Technical_Report_for_the_Niobec_Project_in_North_America_dated_June_2011_summary, 02385db31dc0fc04c2c0a598cabd5d8a0cc2c990002d04c5b1ec8e3e6795d8c8ef_NI_43-101_Technical_Report_for_the_Wicheeda_project_in_Canada_dated_November_2021_summary, 02fbe6e649215a04386141250f3d6657f3887371021baf75e756ee8248ce018f0c_NI_43-101_Technical_Report_for_the_Deep_Fox_Project_in_Canada_dated_September_2019_summary"," Test run that now we normalize country/state or province. Also removing any reports that have no mineral inventory in either ground truth or in the predicted extractions.
    "
commodity_observed_name,0.22712382552179314,0.6730951502891742,118.0,136.0,302.0,0.28095238095238095,0.8676470588235294,"02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795_NI_43-101_Technical_Report_for_the_Montviel_Project_in_North_America_dated_November_2011_summary, 02803cfd4ec0dbf1737007ec5c679c3d4ac44087e8a3514cc9a959584936e829cb_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_North_America_dated_2017_summary, 021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe_NI_43-101_Technical_Report_for_the_Aley_Project_in_North_America_dated_March_2012_summary, 02b9ba7f8441a85820598cf896e53ed2d92d08c594e3dec861824d50ea45e3299e_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_Canada_dated_October_2020_summary, 02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef_NI_43-101_Technical_Report_for_the_Crevier_Project_in_North_America_dated_2011_summary, 020548e1aca4c1ca222149e11a79f15bd7594c02eb12163a1793a782fc2ec3619c_NI_43-101_Technical_Report_for_the_Crater_Lake_project_in_Canada_dated_September_2021_summary, 02a3813b610d66c8ca0c3dc7ffb99f879b7696ddde59af5b9b4f5b89b29740f745_NI_43-101_Technical_Report_for_the_Niobec_Project_in_North_America_dated_June_2011_summary, 02385db31dc0fc04c2c0a598cabd5d8a0cc2c990002d04c5b1ec8e3e6795d8c8ef_NI_43-101_Technical_Report_for_the_Wicheeda_project_in_Canada_dated_November_2021_summary, 02fbe6e649215a04386141250f3d6657f3887371021baf75e756ee8248ce018f0c_NI_43-101_Technical_Report_for_the_Deep_Fox_Project_in_Canada_dated_September_2019_summary"," Test run that now we normalize country/state or province. Also removing any reports that have no mineral inventory in either ground truth or in the predicted extractions.
    "
category_observed_name,0.3175470076464693,1.0,136.0,136.0,284.0,0.3238095238095238,1.0,"02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795_NI_43-101_Technical_Report_for_the_Montviel_Project_in_North_America_dated_November_2011_summary, 02803cfd4ec0dbf1737007ec5c679c3d4ac44087e8a3514cc9a959584936e829cb_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_North_America_dated_2017_summary, 021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe_NI_43-101_Technical_Report_for_the_Aley_Project_in_North_America_dated_March_2012_summary, 02b9ba7f8441a85820598cf896e53ed2d92d08c594e3dec861824d50ea45e3299e_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_Canada_dated_October_2020_summary, 02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef_NI_43-101_Technical_Report_for_the_Crevier_Project_in_North_America_dated_2011_summary, 020548e1aca4c1ca222149e11a79f15bd7594c02eb12163a1793a782fc2ec3619c_NI_43-101_Technical_Report_for_the_Crater_Lake_project_in_Canada_dated_September_2021_summary, 02a3813b610d66c8ca0c3dc7ffb99f879b7696ddde59af5b9b4f5b89b29740f745_NI_43-101_Technical_Report_for_the_Niobec_Project_in_North_America_dated_June_2011_summary, 02385db31dc0fc04c2c0a598cabd5d8a0cc2c990002d04c5b1ec8e3e6795d8c8ef_NI_43-101_Technical_Report_for_the_Wicheeda_project_in_Canada_dated_November_2021_summary, 02fbe6e649215a04386141250f3d6657f3887371021baf75e756ee8248ce018f0c_NI_43-101_Technical_Report_for_the_Deep_Fox_Project_in_Canada_dated_September_2019_summary"," Test run that now we normalize country/state or province. Also removing any reports that have no mineral inventory in either ground truth or in the predicted extractions.
    "
ore_unit_observed_name,0.3175470076464693,1.0,136.0,136.0,284.0,0.3238095238095238,1.0,"02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795_NI_43-101_Technical_Report_for_the_Montviel_Project_in_North_America_dated_November_2011_summary, 02803cfd4ec0dbf1737007ec5c679c3d4ac44087e8a3514cc9a959584936e829cb_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_North_America_dated_2017_summary, 021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe_NI_43-101_Technical_Report_for_the_Aley_Project_in_North_America_dated_March_2012_summary, 02b9ba7f8441a85820598cf896e53ed2d92d08c594e3dec861824d50ea45e3299e_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_Canada_dated_October_2020_summary, 02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef_NI_43-101_Technical_Report_for_the_Crevier_Project_in_North_America_dated_2011_summary, 020548e1aca4c1ca222149e11a79f15bd7594c02eb12163a1793a782fc2ec3619c_NI_43-101_Technical_Report_for_the_Crater_Lake_project_in_Canada_dated_September_2021_summary, 02a3813b610d66c8ca0c3dc7ffb99f879b7696ddde59af5b9b4f5b89b29740f745_NI_43-101_Technical_Report_for_the_Niobec_Project_in_North_America_dated_June_2011_summary, 02385db31dc0fc04c2c0a598cabd5d8a0cc2c990002d04c5b1ec8e3e6795d8c8ef_NI_43-101_Technical_Report_for_the_Wicheeda_project_in_Canada_dated_November_2021_summary, 02fbe6e649215a04386141250f3d6657f3887371021baf75e756ee8248ce018f0c_NI_43-101_Technical_Report_for_the_Deep_Fox_Project_in_Canada_dated_September_2019_summary"," Test run that now we normalize country/state or province. Also removing any reports that have no mineral inventory in either ground truth or in the predicted extractions.
    "
ore_value,0.3069880850875467,0.9419259259259258,128.0,136.0,292.0,0.3047619047619048,0.9411764705882353,"02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795_NI_43-101_Technical_Report_for_the_Montviel_Project_in_North_America_dated_November_2011_summary, 02803cfd4ec0dbf1737007ec5c679c3d4ac44087e8a3514cc9a959584936e829cb_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_North_America_dated_2017_summary, 021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe_NI_43-101_Technical_Report_for_the_Aley_Project_in_North_America_dated_March_2012_summary, 02b9ba7f8441a85820598cf896e53ed2d92d08c594e3dec861824d50ea45e3299e_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_Canada_dated_October_2020_summary, 02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef_NI_43-101_Technical_Report_for_the_Crevier_Project_in_North_America_dated_2011_summary, 020548e1aca4c1ca222149e11a79f15bd7594c02eb12163a1793a782fc2ec3619c_NI_43-101_Technical_Report_for_the_Crater_Lake_project_in_Canada_dated_September_2021_summary, 02a3813b610d66c8ca0c3dc7ffb99f879b7696ddde59af5b9b4f5b89b29740f745_NI_43-101_Technical_Report_for_the_Niobec_Project_in_North_America_dated_June_2011_summary, 02385db31dc0fc04c2c0a598cabd5d8a0cc2c990002d04c5b1ec8e3e6795d8c8ef_NI_43-101_Technical_Report_for_the_Wicheeda_project_in_Canada_dated_November_2021_summary, 02fbe6e649215a04386141250f3d6657f3887371021baf75e756ee8248ce018f0c_NI_43-101_Technical_Report_for_the_Deep_Fox_Project_in_Canada_dated_September_2019_summary"," Test run that now we normalize country/state or province. Also removing any reports that have no mineral inventory in either ground truth or in the predicted extractions.
    "
grade_unit_observed_name,0.3175470076464693,1.0,136.0,136.0,284.0,0.3238095238095238,1.0,"02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795_NI_43-101_Technical_Report_for_the_Montviel_Project_in_North_America_dated_November_2011_summary, 02803cfd4ec0dbf1737007ec5c679c3d4ac44087e8a3514cc9a959584936e829cb_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_North_America_dated_2017_summary, 021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe_NI_43-101_Technical_Report_for_the_Aley_Project_in_North_America_dated_March_2012_summary, 02b9ba7f8441a85820598cf896e53ed2d92d08c594e3dec861824d50ea45e3299e_NI_43-101_Technical_Report_for_the_James_Bay_Project_in_Canada_dated_October_2020_summary, 02abf69f51a0e21c9ad50e36cb536696e6a6a5ff726c334b7092faaa35a36894ef_NI_43-101_Technical_Report_for_the_Crevier_Project_in_North_America_dated_2011_summary, 020548e1aca4c1ca222149e11a79f15bd7594c02eb12163a1793a782fc2ec3619c_NI_43-101_Technical_Report_for_the_Crater_Lake_project_in_Canada_dated_September_2021_summary, 02a3813b610d66c8ca0c3dc7ffb99f879b7696ddde59af5b9b4f5b89b29740f745_NI_43-101_Technical_Report_for_the_Niobec_Project_in_North_America_dated_June_2011_summary, 02385db31dc0fc04c2c0a598cabd5d8a0cc2c990002d04c5b1ec8e3e6795d8c8ef_NI_43-101_Technical_Report_for_the_Wicheeda_project_in_Canada_dated_November_2021_summary, 02fbe6e649215a04386141250f3d6657f3887371021baf75e756ee8248ce018f0c_NI_43-101_Technical_Report_for_the_Deep_Fox_Project_in_Canada_dated_September_2019_summary"," Test run that now we normalize country/state or province. Also removing any reports that have no mineral inventory in either ground truth or in the predicted extractions.
    "
