,Averaged Precision,Averaged Recall,Total TP count,Total GT count,Total FP count,Calculated Precision from TP/FP,Calculated Recall from TP/FP,Added report,note
mining_site_name,0.87890625,0.87890625,7.0,11.0,4.0,0.6363636363636364,0.6363636363636364,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary","Added the evaluation for mining site names.
    "
country_observed_name,0.94140625,0.94140625,9.0,11.0,2.0,0.8181818181818182,0.8181818181818182,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary","Added the evaluation for mining site names.
    "
state_or_province_observed_name,0.1622781753540039,0.1622781753540039,6.0,11.0,5.0,0.5454545454545454,0.5454545454545454,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary","Added the evaluation for mining site names.
    "
authors,0.6812856197357178,0.8623347282409668,11.0,17.0,9.0,0.55,0.6470588235294118,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary","Added the evaluation for mining site names.
    "
year,1.0,1.0,11.0,11.0,0.0,1.0,1.0,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary","Added the evaluation for mining site names.
    "
month,1.0,1.0,11.0,11.0,0.0,1.0,1.0,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary","Added the evaluation for mining site names.
    "
commodity_observed_name,0.9423130580357144,0.27990992863972985,306.0,469.0,266.0,0.534965034965035,0.652452025586354,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary","Added the evaluation for mining site names.
    "
category_observed_name,0.8690708705357143,0.21596833637782506,280.0,469.0,292.0,0.48951048951048953,0.5970149253731343,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary","Added the evaluation for mining site names.
    "
ore_unit_observed_name,0.7710295745304654,0.270327091217041,305.0,469.0,267.0,0.5332167832167832,0.650319829424307,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary","Added the evaluation for mining site names.
    "
ore_value,0.16095284053257533,0.16992911838349842,264.0,469.0,308.0,0.46153846153846156,0.5628997867803838,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary","Added the evaluation for mining site names.
    "
