,Averaged Precision,Averaged Recall,Total TP count,Total GT count,Total FP count,Calculated Precision from TP/FP,Calculated Recall from TP/FP,Added report,note
country_observed_name,0.887188806584362,0.887188806584362,12.0,14.0,2.0,0.8571428571428571,0.8571428571428571,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 026c17ad71c26c2a8c6efb143d9b4ff5e6a6924d48e87740a3a569be7c95be4d47_NI_43-101_Technical_Report_for_the_Buchans_Project_in_North_America_dated_November_2016_summary, 029aae55599abf47ce32031ffa6dc594c63936ebe582cfc3104d67ba69aa85658b_NI_43-101_Technical_Report_for_the_Hakkari_Project_in_Middle_East_Turkey_dated_March_2010_summary, 02c728ea3a62eeca6fbe78cce0aed79f40fd8aa89d2c156989aedaf12d2501115e_NI_43-101_Technical_Report_for_the_Cleveland_Project_in_Washington_United_States_dated_January_2006_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 0223acd62ea02ba8d62389e2000117fbff0d5f325d78f5974f4d78cdd823272c9c_NI_43-101_Technical_Report_for_the_Daniels_Harbour_Project_in_North_America_dated_2017_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 020e9a9eb745c51cd6e6043a23a75e7706d8488544331cf6c229dcfff9d62acf53_NI_43-101_Technical_Report_for_the_Sierra_Zinc_Project_in_Washington_United_States_dated_October_2003_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 02138d079ca1fc122e032cc943f1ea6794d744fad5be975fd8ec58102dfed29f7a_NI_43-101_Technical_Report_for_the_San_Vicente_Project_in_Peru_dated_September_2019_summary, 0200ab064d1f23368ac703f8789169194114421955c172b55e2bc1a95184e2f0e0_NI_43-101_Technical_Report_for_the_Bleiberg_Project_in_Europe_dated_May_2017_summary, 02711c830d14cbb8e365574b7aa58d792209a84d07eabf7c7354c342c93e260991_NI_43-101_Technical_Report_for_the_Scotia_Project_in_North_America_dated_July_2006_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary",Testing the running average
state_or_province_observed_name,0.27737172765727336,0.30969782306266086,7.0,14.0,8.0,0.4666666666666667,0.5,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 026c17ad71c26c2a8c6efb143d9b4ff5e6a6924d48e87740a3a569be7c95be4d47_NI_43-101_Technical_Report_for_the_Buchans_Project_in_North_America_dated_November_2016_summary, 029aae55599abf47ce32031ffa6dc594c63936ebe582cfc3104d67ba69aa85658b_NI_43-101_Technical_Report_for_the_Hakkari_Project_in_Middle_East_Turkey_dated_March_2010_summary, 02c728ea3a62eeca6fbe78cce0aed79f40fd8aa89d2c156989aedaf12d2501115e_NI_43-101_Technical_Report_for_the_Cleveland_Project_in_Washington_United_States_dated_January_2006_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 0223acd62ea02ba8d62389e2000117fbff0d5f325d78f5974f4d78cdd823272c9c_NI_43-101_Technical_Report_for_the_Daniels_Harbour_Project_in_North_America_dated_2017_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 020e9a9eb745c51cd6e6043a23a75e7706d8488544331cf6c229dcfff9d62acf53_NI_43-101_Technical_Report_for_the_Sierra_Zinc_Project_in_Washington_United_States_dated_October_2003_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 02138d079ca1fc122e032cc943f1ea6794d744fad5be975fd8ec58102dfed29f7a_NI_43-101_Technical_Report_for_the_San_Vicente_Project_in_Peru_dated_September_2019_summary, 0200ab064d1f23368ac703f8789169194114421955c172b55e2bc1a95184e2f0e0_NI_43-101_Technical_Report_for_the_Bleiberg_Project_in_Europe_dated_May_2017_summary, 02711c830d14cbb8e365574b7aa58d792209a84d07eabf7c7354c342c93e260991_NI_43-101_Technical_Report_for_the_Scotia_Project_in_North_America_dated_July_2006_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary",Testing the running average
authors,0.7035883439174372,0.8605419853673771,20.0,25.0,10.0,0.6666666666666666,0.8,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 026c17ad71c26c2a8c6efb143d9b4ff5e6a6924d48e87740a3a569be7c95be4d47_NI_43-101_Technical_Report_for_the_Buchans_Project_in_North_America_dated_November_2016_summary, 029aae55599abf47ce32031ffa6dc594c63936ebe582cfc3104d67ba69aa85658b_NI_43-101_Technical_Report_for_the_Hakkari_Project_in_Middle_East_Turkey_dated_March_2010_summary, 02c728ea3a62eeca6fbe78cce0aed79f40fd8aa89d2c156989aedaf12d2501115e_NI_43-101_Technical_Report_for_the_Cleveland_Project_in_Washington_United_States_dated_January_2006_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 0223acd62ea02ba8d62389e2000117fbff0d5f325d78f5974f4d78cdd823272c9c_NI_43-101_Technical_Report_for_the_Daniels_Harbour_Project_in_North_America_dated_2017_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 020e9a9eb745c51cd6e6043a23a75e7706d8488544331cf6c229dcfff9d62acf53_NI_43-101_Technical_Report_for_the_Sierra_Zinc_Project_in_Washington_United_States_dated_October_2003_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 02138d079ca1fc122e032cc943f1ea6794d744fad5be975fd8ec58102dfed29f7a_NI_43-101_Technical_Report_for_the_San_Vicente_Project_in_Peru_dated_September_2019_summary, 0200ab064d1f23368ac703f8789169194114421955c172b55e2bc1a95184e2f0e0_NI_43-101_Technical_Report_for_the_Bleiberg_Project_in_Europe_dated_May_2017_summary, 02711c830d14cbb8e365574b7aa58d792209a84d07eabf7c7354c342c93e260991_NI_43-101_Technical_Report_for_the_Scotia_Project_in_North_America_dated_July_2006_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary",Testing the running average
year,0.9527836268861454,0.9527836268861454,13.0,14.0,1.0,0.9285714285714286,0.9285714285714286,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 026c17ad71c26c2a8c6efb143d9b4ff5e6a6924d48e87740a3a569be7c95be4d47_NI_43-101_Technical_Report_for_the_Buchans_Project_in_North_America_dated_November_2016_summary, 029aae55599abf47ce32031ffa6dc594c63936ebe582cfc3104d67ba69aa85658b_NI_43-101_Technical_Report_for_the_Hakkari_Project_in_Middle_East_Turkey_dated_March_2010_summary, 02c728ea3a62eeca6fbe78cce0aed79f40fd8aa89d2c156989aedaf12d2501115e_NI_43-101_Technical_Report_for_the_Cleveland_Project_in_Washington_United_States_dated_January_2006_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 0223acd62ea02ba8d62389e2000117fbff0d5f325d78f5974f4d78cdd823272c9c_NI_43-101_Technical_Report_for_the_Daniels_Harbour_Project_in_North_America_dated_2017_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 020e9a9eb745c51cd6e6043a23a75e7706d8488544331cf6c229dcfff9d62acf53_NI_43-101_Technical_Report_for_the_Sierra_Zinc_Project_in_Washington_United_States_dated_October_2003_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 02138d079ca1fc122e032cc943f1ea6794d744fad5be975fd8ec58102dfed29f7a_NI_43-101_Technical_Report_for_the_San_Vicente_Project_in_Peru_dated_September_2019_summary, 0200ab064d1f23368ac703f8789169194114421955c172b55e2bc1a95184e2f0e0_NI_43-101_Technical_Report_for_the_Bleiberg_Project_in_Europe_dated_May_2017_summary, 02711c830d14cbb8e365574b7aa58d792209a84d07eabf7c7354c342c93e260991_NI_43-101_Technical_Report_for_the_Scotia_Project_in_North_America_dated_July_2006_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary",Testing the running average
month,0.8947095528120712,0.8947095528120712,12.0,14.0,2.0,0.8571428571428571,0.8571428571428571,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 026c17ad71c26c2a8c6efb143d9b4ff5e6a6924d48e87740a3a569be7c95be4d47_NI_43-101_Technical_Report_for_the_Buchans_Project_in_North_America_dated_November_2016_summary, 029aae55599abf47ce32031ffa6dc594c63936ebe582cfc3104d67ba69aa85658b_NI_43-101_Technical_Report_for_the_Hakkari_Project_in_Middle_East_Turkey_dated_March_2010_summary, 02c728ea3a62eeca6fbe78cce0aed79f40fd8aa89d2c156989aedaf12d2501115e_NI_43-101_Technical_Report_for_the_Cleveland_Project_in_Washington_United_States_dated_January_2006_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 0223acd62ea02ba8d62389e2000117fbff0d5f325d78f5974f4d78cdd823272c9c_NI_43-101_Technical_Report_for_the_Daniels_Harbour_Project_in_North_America_dated_2017_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 020e9a9eb745c51cd6e6043a23a75e7706d8488544331cf6c229dcfff9d62acf53_NI_43-101_Technical_Report_for_the_Sierra_Zinc_Project_in_Washington_United_States_dated_October_2003_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 02138d079ca1fc122e032cc943f1ea6794d744fad5be975fd8ec58102dfed29f7a_NI_43-101_Technical_Report_for_the_San_Vicente_Project_in_Peru_dated_September_2019_summary, 0200ab064d1f23368ac703f8789169194114421955c172b55e2bc1a95184e2f0e0_NI_43-101_Technical_Report_for_the_Bleiberg_Project_in_Europe_dated_May_2017_summary, 02711c830d14cbb8e365574b7aa58d792209a84d07eabf7c7354c342c93e260991_NI_43-101_Technical_Report_for_the_Scotia_Project_in_North_America_dated_July_2006_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary",Testing the running average
commodity_observed_name,0.5897936094219325,0.22577898088720408,159.0,327.0,303.0,0.34415584415584416,0.48623853211009177,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 026c17ad71c26c2a8c6efb143d9b4ff5e6a6924d48e87740a3a569be7c95be4d47_NI_43-101_Technical_Report_for_the_Buchans_Project_in_North_America_dated_November_2016_summary, 029aae55599abf47ce32031ffa6dc594c63936ebe582cfc3104d67ba69aa85658b_NI_43-101_Technical_Report_for_the_Hakkari_Project_in_Middle_East_Turkey_dated_March_2010_summary, 02c728ea3a62eeca6fbe78cce0aed79f40fd8aa89d2c156989aedaf12d2501115e_NI_43-101_Technical_Report_for_the_Cleveland_Project_in_Washington_United_States_dated_January_2006_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 0223acd62ea02ba8d62389e2000117fbff0d5f325d78f5974f4d78cdd823272c9c_NI_43-101_Technical_Report_for_the_Daniels_Harbour_Project_in_North_America_dated_2017_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 020e9a9eb745c51cd6e6043a23a75e7706d8488544331cf6c229dcfff9d62acf53_NI_43-101_Technical_Report_for_the_Sierra_Zinc_Project_in_Washington_United_States_dated_October_2003_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 02138d079ca1fc122e032cc943f1ea6794d744fad5be975fd8ec58102dfed29f7a_NI_43-101_Technical_Report_for_the_San_Vicente_Project_in_Peru_dated_September_2019_summary, 0200ab064d1f23368ac703f8789169194114421955c172b55e2bc1a95184e2f0e0_NI_43-101_Technical_Report_for_the_Bleiberg_Project_in_Europe_dated_May_2017_summary, 02711c830d14cbb8e365574b7aa58d792209a84d07eabf7c7354c342c93e260991_NI_43-101_Technical_Report_for_the_Scotia_Project_in_North_America_dated_July_2006_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary",Testing the running average
category_observed_name,0.5280500823579687,0.17249193123013964,146.0,327.0,316.0,0.31601731601731603,0.44648318042813456,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 026c17ad71c26c2a8c6efb143d9b4ff5e6a6924d48e87740a3a569be7c95be4d47_NI_43-101_Technical_Report_for_the_Buchans_Project_in_North_America_dated_November_2016_summary, 029aae55599abf47ce32031ffa6dc594c63936ebe582cfc3104d67ba69aa85658b_NI_43-101_Technical_Report_for_the_Hakkari_Project_in_Middle_East_Turkey_dated_March_2010_summary, 02c728ea3a62eeca6fbe78cce0aed79f40fd8aa89d2c156989aedaf12d2501115e_NI_43-101_Technical_Report_for_the_Cleveland_Project_in_Washington_United_States_dated_January_2006_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 0223acd62ea02ba8d62389e2000117fbff0d5f325d78f5974f4d78cdd823272c9c_NI_43-101_Technical_Report_for_the_Daniels_Harbour_Project_in_North_America_dated_2017_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 020e9a9eb745c51cd6e6043a23a75e7706d8488544331cf6c229dcfff9d62acf53_NI_43-101_Technical_Report_for_the_Sierra_Zinc_Project_in_Washington_United_States_dated_October_2003_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 02138d079ca1fc122e032cc943f1ea6794d744fad5be975fd8ec58102dfed29f7a_NI_43-101_Technical_Report_for_the_San_Vicente_Project_in_Peru_dated_September_2019_summary, 0200ab064d1f23368ac703f8789169194114421955c172b55e2bc1a95184e2f0e0_NI_43-101_Technical_Report_for_the_Bleiberg_Project_in_Europe_dated_May_2017_summary, 02711c830d14cbb8e365574b7aa58d792209a84d07eabf7c7354c342c93e260991_NI_43-101_Technical_Report_for_the_Scotia_Project_in_North_America_dated_July_2006_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary",Testing the running average
ore_unit_observed_name,0.4573855480574733,0.24076198923603692,137.0,327.0,325.0,0.29653679653679654,0.41896024464831805,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 026c17ad71c26c2a8c6efb143d9b4ff5e6a6924d48e87740a3a569be7c95be4d47_NI_43-101_Technical_Report_for_the_Buchans_Project_in_North_America_dated_November_2016_summary, 029aae55599abf47ce32031ffa6dc594c63936ebe582cfc3104d67ba69aa85658b_NI_43-101_Technical_Report_for_the_Hakkari_Project_in_Middle_East_Turkey_dated_March_2010_summary, 02c728ea3a62eeca6fbe78cce0aed79f40fd8aa89d2c156989aedaf12d2501115e_NI_43-101_Technical_Report_for_the_Cleveland_Project_in_Washington_United_States_dated_January_2006_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 0223acd62ea02ba8d62389e2000117fbff0d5f325d78f5974f4d78cdd823272c9c_NI_43-101_Technical_Report_for_the_Daniels_Harbour_Project_in_North_America_dated_2017_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 020e9a9eb745c51cd6e6043a23a75e7706d8488544331cf6c229dcfff9d62acf53_NI_43-101_Technical_Report_for_the_Sierra_Zinc_Project_in_Washington_United_States_dated_October_2003_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 02138d079ca1fc122e032cc943f1ea6794d744fad5be975fd8ec58102dfed29f7a_NI_43-101_Technical_Report_for_the_San_Vicente_Project_in_Peru_dated_September_2019_summary, 0200ab064d1f23368ac703f8789169194114421955c172b55e2bc1a95184e2f0e0_NI_43-101_Technical_Report_for_the_Bleiberg_Project_in_Europe_dated_May_2017_summary, 02711c830d14cbb8e365574b7aa58d792209a84d07eabf7c7354c342c93e260991_NI_43-101_Technical_Report_for_the_Scotia_Project_in_North_America_dated_July_2006_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary",Testing the running average
ore_value,0.09393296213639223,0.19712697928944692,113.0,327.0,349.0,0.24458874458874458,0.345565749235474,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 026c17ad71c26c2a8c6efb143d9b4ff5e6a6924d48e87740a3a569be7c95be4d47_NI_43-101_Technical_Report_for_the_Buchans_Project_in_North_America_dated_November_2016_summary, 029aae55599abf47ce32031ffa6dc594c63936ebe582cfc3104d67ba69aa85658b_NI_43-101_Technical_Report_for_the_Hakkari_Project_in_Middle_East_Turkey_dated_March_2010_summary, 02c728ea3a62eeca6fbe78cce0aed79f40fd8aa89d2c156989aedaf12d2501115e_NI_43-101_Technical_Report_for_the_Cleveland_Project_in_Washington_United_States_dated_January_2006_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 0223acd62ea02ba8d62389e2000117fbff0d5f325d78f5974f4d78cdd823272c9c_NI_43-101_Technical_Report_for_the_Daniels_Harbour_Project_in_North_America_dated_2017_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 020e9a9eb745c51cd6e6043a23a75e7706d8488544331cf6c229dcfff9d62acf53_NI_43-101_Technical_Report_for_the_Sierra_Zinc_Project_in_Washington_United_States_dated_October_2003_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 02138d079ca1fc122e032cc943f1ea6794d744fad5be975fd8ec58102dfed29f7a_NI_43-101_Technical_Report_for_the_San_Vicente_Project_in_Peru_dated_September_2019_summary, 0200ab064d1f23368ac703f8789169194114421955c172b55e2bc1a95184e2f0e0_NI_43-101_Technical_Report_for_the_Bleiberg_Project_in_Europe_dated_May_2017_summary, 02711c830d14cbb8e365574b7aa58d792209a84d07eabf7c7354c342c93e260991_NI_43-101_Technical_Report_for_the_Scotia_Project_in_North_America_dated_July_2006_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary",Testing the running average
grade_unit_observed_name,0.5848970966545698,0.2194834644720235,157.0,327.0,305.0,0.3398268398268398,0.4801223241590214,"023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963_NI_43-101_Technical_Report_for_the_Hakkira_Project_in_Middle_East_Turkey_dated_April_2011_summary, 026c17ad71c26c2a8c6efb143d9b4ff5e6a6924d48e87740a3a569be7c95be4d47_NI_43-101_Technical_Report_for_the_Buchans_Project_in_North_America_dated_November_2016_summary, 029aae55599abf47ce32031ffa6dc594c63936ebe582cfc3104d67ba69aa85658b_NI_43-101_Technical_Report_for_the_Hakkari_Project_in_Middle_East_Turkey_dated_March_2010_summary, 02c728ea3a62eeca6fbe78cce0aed79f40fd8aa89d2c156989aedaf12d2501115e_NI_43-101_Technical_Report_for_the_Cleveland_Project_in_Washington_United_States_dated_January_2006_summary, 02bd5fc823c94377b503d25f763f847fb6b1bf7ae5c64a0d45f583477c18365535_NI_43-101_Technical_Report_for_the_Bongara_Project_in_Peru_dated_March_2019_summary, 0223acd62ea02ba8d62389e2000117fbff0d5f325d78f5974f4d78cdd823272c9c_NI_43-101_Technical_Report_for_the_Daniels_Harbour_Project_in_North_America_dated_2017_summary, 027f4f5ca8be841e00474f044b45a69418e89c82716cb3c2fe94e4d1b39651b2db_NI_43-101_Technical_Report_for_the_Red_Dog_Project_in_Alaska_United_States_dated_May_2001_summary, 0287cf94e53415a2b2a1ebd6c0a1776284f0ffb796d7ebc772e3cbbfbcfbb49ffd_NI_43-101_Technical_Report_for_the_Reocin_Project_in_Europe_Spain_dated_March_2002_summary, 020e9a9eb745c51cd6e6043a23a75e7706d8488544331cf6c229dcfff9d62acf53_NI_43-101_Technical_Report_for_the_Sierra_Zinc_Project_in_Washington_United_States_dated_October_2003_summary, 02d9a146a8cf7c5bb24daf373a93f9a1a01bd14530620856c7f796bbe30490ca7c_NI_43-101_Technical_Report_for_the_Mehdiabad_Project_in_Middle_East_Iran_dated_March_2005_summary, 02138d079ca1fc122e032cc943f1ea6794d744fad5be975fd8ec58102dfed29f7a_NI_43-101_Technical_Report_for_the_San_Vicente_Project_in_Peru_dated_September_2019_summary, 0200ab064d1f23368ac703f8789169194114421955c172b55e2bc1a95184e2f0e0_NI_43-101_Technical_Report_for_the_Bleiberg_Project_in_Europe_dated_May_2017_summary, 02711c830d14cbb8e365574b7aa58d792209a84d07eabf7c7354c342c93e260991_NI_43-101_Technical_Report_for_the_Scotia_Project_in_North_America_dated_July_2006_summary, 024d19dd4d5c56766d1b384671e30aa6b57f4c726d486bc798982b21ebe6a3ebf1_NI_43-101_Technical_Report_for_the_Jersey_Project_in_North_America_dated_February_2010_summary",Testing the running average
