,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,1.0,1.0,3.0,0.0,3.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,1.0,0.45161290322580644,168.0,0.0,372.0
category_observed_name,0.9285714285714286,0.41935483870967744,156.0,12.0,372.0
ore_unit_observed_name,1.0,0.45161290322580644,168.0,0.0,372.0
ore_value,0.6785714285714286,0.3064516129032258,114.0,54.0,372.0
grade_unit_observed_name,1.0,0.45161290322580644,168.0,0.0,372.0
grade_value,0.9761904761904762,0.44086021505376344,164.0,4.0,372.0
cutoff_grade_unit_observed_name,0.21428571428571427,0.0967741935483871,36.0,132.0,372.0
cutoff_grade_value,0.9642857142857143,0.43548387096774194,162.0,6.0,372.0
contained_metal,0.7023809523809523,0.3172043010752688,118.0,50.0,372.0
zone,0.6785714285714286,0.3064516129032258,114.0,54.0,372.0
