,Averaged Precision,Averaged Recall,Total TP count,Total GT count,Total FP count,Calculated Precision from TP/FP,Calculated Recall from TP/FP,Added report,note
mining_site_name,0.8113552632275969,0.8113552632275969,15.0,23.0,8.0,0.6521739130434783,0.6521739130434783,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary","Added the evaluation for mining site names.
    "
country_observed_name,1.0,1.0,23.0,23.0,0.0,1.0,1.0,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary","Added the evaluation for mining site names.
    "
state_or_province_observed_name,0.9672212203094546,0.9672212203094546,21.0,23.0,2.0,0.9130434782608695,0.9130434782608695,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary","Added the evaluation for mining site names.
    "
authors,1.0,1.0,65.0,65.0,0.0,1.0,1.0,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary","Added the evaluation for mining site names.
    "
year,1.0,1.0,23.0,23.0,0.0,1.0,1.0,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary","Added the evaluation for mining site names.
    "
month,1.0,1.0,23.0,23.0,0.0,1.0,1.0,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary","Added the evaluation for mining site names.
    "
commodity_observed_name,0.7312195840304115,0.8564726099738398,848.0,1292.0,592.0,0.5888888888888889,0.6563467492260062,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary","Added the evaluation for mining site names.
    "
category_observed_name,0.7560975923793805,0.8580819850389387,818.0,1292.0,622.0,0.5680555555555555,0.6331269349845201,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary","Added the evaluation for mining site names.
    "
ore_unit_observed_name,0.8120357534494027,0.9327478224513741,882.0,1292.0,558.0,0.6125,0.6826625386996904,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary","Added the evaluation for mining site names.
    "
ore_value,0.6323832300839919,0.7720201505547216,720.0,1292.0,720.0,0.5,0.5572755417956656,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary","Added the evaluation for mining site names.
    "
