,Averaged Precision,Averaged Recall,Total TP count,Total GT count,Total FP count,Calculated Precision from TP/FP,Calculated Recall from TP/FP,Added report,note
country_observed_name,1.0,1.0,10.0,10.0,0.0,1.0,1.0,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary",Testing the running average
state_or_province_observed_name,0.9616113399038765,0.9616113399038765,9.0,10.0,1.0,0.9,0.9,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary",Testing the running average
authors,1.0,1.0,31.0,31.0,0.0,1.0,1.0,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary",Testing the running average
year,1.0,1.0,10.0,10.0,0.0,1.0,1.0,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary",Testing the running average
month,1.0,1.0,10.0,10.0,0.0,1.0,1.0,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary",Testing the running average
commodity_observed_name,0.7963903249045106,0.8439368472703709,421.0,646.0,164.0,0.7196581196581197,0.651702786377709,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary",Testing the running average
category_observed_name,0.8243506242701334,0.8596030212053303,409.0,646.0,176.0,0.6991452991452991,0.6331269349845201,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary",Testing the running average
ore_unit_observed_name,0.8848810002112609,0.9274894761045933,440.0,646.0,145.0,0.7521367521367521,0.6811145510835913,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary",Testing the running average
ore_value,0.6886685368393022,0.7515219375303988,355.0,646.0,230.0,0.6068376068376068,0.5495356037151703,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary",Testing the running average
grade_unit_observed_name,0.8565100321759007,0.8952469031309616,376.0,646.0,209.0,0.6427350427350428,0.5820433436532507,"0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2_NI_43-101_Technical_Report_for_the_Turnagain_Project_in_North_America_dated_March_2007_summary, 02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08_NI_43-101_Technical_Report_for_the_Marathon_Project_in_North_America_dated_October_2006_summary, 0275b5be425dad03ece21eaa64ebc388d765b47ed001e4956f494978c11214f37d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_October_2010_summary, 02aab13c251f7d11f5bf4a0d752331726ada09d10eac1b32c0b45ae39b0737da38_NI_43-101_Technical_Report_for_the_Hart_Project_in_North_America_dated_February_2010_summary, 02d40055ac23d9034c815a941763045780b709289537ed42a56b7390db074d11cd_NI_43-101_Technical_Report_for_the_McWatters_Project_in_North_America_dated_May_2008_summary, 02566050697784428cb9bc4d6cf5546d1e07f671eefc62f79aa3163701fb17fcdb_NI_43-101_Technical_Report_for_the_Mel_Project_in_North_America_dated_March_2007_summary, 023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548_NI_43-101_Technical_Report_for_the_Graham_Project_in_North_America_dated_January_2009_summary, 025616a24d90f78dc37e943df3495bce368e062297a2e33a6f519524496c09c443_NI_43-101_Technical_Report_for_the_Los_Santos_Project_in_Europe_Spain_dated_October_2015_summary, 02771a5d21ae0aca3c5bfe28f1b0c73eebe1790745adcf42cc10105946c31add6e_NI_43-101_Technical_Report_for_the_Nunavik_Project_in_North_America_dated_April_2010_summary, 02fd98e067010f8d853d2c018cb002be462ac7fcd895af4125beb89f42b659f89d_NI_43-101_Technical_Report_for_the_Thunder_Bay_North_Project_in_North_America_dated_March_2011_summary",Testing the running average
