,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,1.0,1.0,2.0,0.0,2.0
year,1.0,1.0,1.0,0.0,1.0
month,0.0,0.0,0.0,1.0,1.0
commodity_observed_name,0.15730337078651685,1.0,14.0,75.0,14.0
category_observed_name,0.15730337078651685,1.0,14.0,75.0,14.0
ore_unit_observed_name,0.15730337078651685,1.0,14.0,75.0,14.0
ore_value,0.14606741573033707,0.9285714285714286,13.0,76.0,14.0
grade_unit_observed_name,0.15730337078651685,1.0,14.0,75.0,14.0
grade_value,0.15730337078651685,1.0,14.0,75.0,14.0
cutoff_grade_unit_observed_name,0.15730337078651685,1.0,14.0,75.0,14.0
cutoff_grade_value,0.15730337078651685,1.0,14.0,75.0,14.0
contained_metal,0.14606741573033707,0.9285714285714286,13.0,76.0,14.0
zone,0.056179775280898875,0.35714285714285715,5.0,84.0,14.0
