,Averaged Precision,Averaged Recall,Total TP count,Total GT count,Total FP count,Calculated Precision from TP/FP,Calculated Recall from TP/FP,Added report,note
mining_site_name,0.9547377228736877,0.9547377228736877,19.0,21.0,2.0,0.9047619047619048,0.9047619047619048,"02a2b93ee61f2863bcb417b27855cb63d63a3c53b73622174f7c5688b0d4dc159c_NI_43-101_Technical_Report_OM_for_the_Panasqueira_Project_in_Europe_Portugal_dated_2016_summary, 02596f3d7bfe5e58de85015cd0abf9eb2fff3bff407aa4ce89aaa23d5912d11798_NI_43-101_Technical_Report_for_the_Northern_Dancer_Project_in_North_America_dated_March_2011_summary, 028abb1176e1a8f66e0d09abb1f8249b316f289c285b6ff91747e4fecd76ed7570_NI_43-101_Technical_Report_for_the_Tabuaco_Project_in_Europe_Portugal_dated_November_2012_summary, 024c70b3884c47f3e5cb6faa65116f1d595bed318091532c9abc19f5b578f11809_NI_43-101_Technical_Report_for_the_Jersey-Emerald_Project_in_North_America_dated_February_2009_summary, 02535c4f674d8805775d2f1f50fafdaa51b248a5be809de9545d6ecb5b36f8c076_NI_43-101_Technical_Report_for_the_Mactung_Project_in_North_America_dated_May_2007_summary, 026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7_NI_43-101_Technical_Report_PEA_for_the_Springer_Project_in_Nevada_United_States_dated_2013_summary, 02945af605b10c33ab8f9b6892686262f39eab56ca1c046b08b018f3345668e9e8_NI_43-101_Technical_Report_for_the_Mount_Pleasant_Project_in_North_America_dated_August_2006_summary, 0282c948fe022812010a8038565908c020e63cda7f19dae55862689222c6a96725_NI_43-101_Technical_Report_for_the_Cantung_Project_in_North_America_dated_August_2009_summary, 02195e2ef16f106876aff4c08b7a53a04edc8630e7ee0a23f16b61a8b066892e8e_NI_43-101_Technical_Report_for_the_Wolfram_Camp_Project_in_Australasia_dated_April_2017_summary, 0204fc707f5b1944308624520cd422c4f1cb478046f66487b06a27e8fbd8f0fd86_NI_43-101_Technical_Report_OM_for_the_Los_Santos_Project_in_Europe_Spain_dated_2015_summary, 02c3ff37f5332e4d1b105253988c49a9409660975cd504c919ac375735831313bc_NI_43-101_Technical_Report_for_the_NMC_Moland_Project_in_Asia_South_Korea_dated_October_2009_summary","Added the evaluation for mining site names.
    "
country_observed_name,0.9197736912037726,0.9197736912037726,17.0,21.0,2.0,0.8947368421052632,0.8095238095238095,"02a2b93ee61f2863bcb417b27855cb63d63a3c53b73622174f7c5688b0d4dc159c_NI_43-101_Technical_Report_OM_for_the_Panasqueira_Project_in_Europe_Portugal_dated_2016_summary, 02596f3d7bfe5e58de85015cd0abf9eb2fff3bff407aa4ce89aaa23d5912d11798_NI_43-101_Technical_Report_for_the_Northern_Dancer_Project_in_North_America_dated_March_2011_summary, 028abb1176e1a8f66e0d09abb1f8249b316f289c285b6ff91747e4fecd76ed7570_NI_43-101_Technical_Report_for_the_Tabuaco_Project_in_Europe_Portugal_dated_November_2012_summary, 024c70b3884c47f3e5cb6faa65116f1d595bed318091532c9abc19f5b578f11809_NI_43-101_Technical_Report_for_the_Jersey-Emerald_Project_in_North_America_dated_February_2009_summary, 02535c4f674d8805775d2f1f50fafdaa51b248a5be809de9545d6ecb5b36f8c076_NI_43-101_Technical_Report_for_the_Mactung_Project_in_North_America_dated_May_2007_summary, 026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7_NI_43-101_Technical_Report_PEA_for_the_Springer_Project_in_Nevada_United_States_dated_2013_summary, 02945af605b10c33ab8f9b6892686262f39eab56ca1c046b08b018f3345668e9e8_NI_43-101_Technical_Report_for_the_Mount_Pleasant_Project_in_North_America_dated_August_2006_summary, 0282c948fe022812010a8038565908c020e63cda7f19dae55862689222c6a96725_NI_43-101_Technical_Report_for_the_Cantung_Project_in_North_America_dated_August_2009_summary, 02195e2ef16f106876aff4c08b7a53a04edc8630e7ee0a23f16b61a8b066892e8e_NI_43-101_Technical_Report_for_the_Wolfram_Camp_Project_in_Australasia_dated_April_2017_summary, 0204fc707f5b1944308624520cd422c4f1cb478046f66487b06a27e8fbd8f0fd86_NI_43-101_Technical_Report_OM_for_the_Los_Santos_Project_in_Europe_Spain_dated_2015_summary, 02c3ff37f5332e4d1b105253988c49a9409660975cd504c919ac375735831313bc_NI_43-101_Technical_Report_for_the_NMC_Moland_Project_in_Asia_South_Korea_dated_October_2009_summary","Added the evaluation for mining site names.
    "
state_or_province_observed_name,0.8199787240891965,0.8199787240891965,13.0,21.0,4.0,0.7647058823529411,0.6190476190476191,"02a2b93ee61f2863bcb417b27855cb63d63a3c53b73622174f7c5688b0d4dc159c_NI_43-101_Technical_Report_OM_for_the_Panasqueira_Project_in_Europe_Portugal_dated_2016_summary, 02596f3d7bfe5e58de85015cd0abf9eb2fff3bff407aa4ce89aaa23d5912d11798_NI_43-101_Technical_Report_for_the_Northern_Dancer_Project_in_North_America_dated_March_2011_summary, 028abb1176e1a8f66e0d09abb1f8249b316f289c285b6ff91747e4fecd76ed7570_NI_43-101_Technical_Report_for_the_Tabuaco_Project_in_Europe_Portugal_dated_November_2012_summary, 024c70b3884c47f3e5cb6faa65116f1d595bed318091532c9abc19f5b578f11809_NI_43-101_Technical_Report_for_the_Jersey-Emerald_Project_in_North_America_dated_February_2009_summary, 02535c4f674d8805775d2f1f50fafdaa51b248a5be809de9545d6ecb5b36f8c076_NI_43-101_Technical_Report_for_the_Mactung_Project_in_North_America_dated_May_2007_summary, 026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7_NI_43-101_Technical_Report_PEA_for_the_Springer_Project_in_Nevada_United_States_dated_2013_summary, 02945af605b10c33ab8f9b6892686262f39eab56ca1c046b08b018f3345668e9e8_NI_43-101_Technical_Report_for_the_Mount_Pleasant_Project_in_North_America_dated_August_2006_summary, 0282c948fe022812010a8038565908c020e63cda7f19dae55862689222c6a96725_NI_43-101_Technical_Report_for_the_Cantung_Project_in_North_America_dated_August_2009_summary, 02195e2ef16f106876aff4c08b7a53a04edc8630e7ee0a23f16b61a8b066892e8e_NI_43-101_Technical_Report_for_the_Wolfram_Camp_Project_in_Australasia_dated_April_2017_summary, 0204fc707f5b1944308624520cd422c4f1cb478046f66487b06a27e8fbd8f0fd86_NI_43-101_Technical_Report_OM_for_the_Los_Santos_Project_in_Europe_Spain_dated_2015_summary, 02c3ff37f5332e4d1b105253988c49a9409660975cd504c919ac375735831313bc_NI_43-101_Technical_Report_for_the_NMC_Moland_Project_in_Asia_South_Korea_dated_October_2009_summary","Added the evaluation for mining site names.
    "
authors,0.9174427557591116,0.9135578633513433,47.0,61.0,6.0,0.8867924528301887,0.7704918032786885,"02a2b93ee61f2863bcb417b27855cb63d63a3c53b73622174f7c5688b0d4dc159c_NI_43-101_Technical_Report_OM_for_the_Panasqueira_Project_in_Europe_Portugal_dated_2016_summary, 02596f3d7bfe5e58de85015cd0abf9eb2fff3bff407aa4ce89aaa23d5912d11798_NI_43-101_Technical_Report_for_the_Northern_Dancer_Project_in_North_America_dated_March_2011_summary, 028abb1176e1a8f66e0d09abb1f8249b316f289c285b6ff91747e4fecd76ed7570_NI_43-101_Technical_Report_for_the_Tabuaco_Project_in_Europe_Portugal_dated_November_2012_summary, 024c70b3884c47f3e5cb6faa65116f1d595bed318091532c9abc19f5b578f11809_NI_43-101_Technical_Report_for_the_Jersey-Emerald_Project_in_North_America_dated_February_2009_summary, 02535c4f674d8805775d2f1f50fafdaa51b248a5be809de9545d6ecb5b36f8c076_NI_43-101_Technical_Report_for_the_Mactung_Project_in_North_America_dated_May_2007_summary, 026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7_NI_43-101_Technical_Report_PEA_for_the_Springer_Project_in_Nevada_United_States_dated_2013_summary, 02945af605b10c33ab8f9b6892686262f39eab56ca1c046b08b018f3345668e9e8_NI_43-101_Technical_Report_for_the_Mount_Pleasant_Project_in_North_America_dated_August_2006_summary, 0282c948fe022812010a8038565908c020e63cda7f19dae55862689222c6a96725_NI_43-101_Technical_Report_for_the_Cantung_Project_in_North_America_dated_August_2009_summary, 02195e2ef16f106876aff4c08b7a53a04edc8630e7ee0a23f16b61a8b066892e8e_NI_43-101_Technical_Report_for_the_Wolfram_Camp_Project_in_Australasia_dated_April_2017_summary, 0204fc707f5b1944308624520cd422c4f1cb478046f66487b06a27e8fbd8f0fd86_NI_43-101_Technical_Report_OM_for_the_Los_Santos_Project_in_Europe_Spain_dated_2015_summary, 02c3ff37f5332e4d1b105253988c49a9409660975cd504c919ac375735831313bc_NI_43-101_Technical_Report_for_the_NMC_Moland_Project_in_Asia_South_Korea_dated_October_2009_summary","Added the evaluation for mining site names.
    "
year,0.9547377228736877,0.9547377228736877,19.0,21.0,2.0,0.9047619047619048,0.9047619047619048,"02a2b93ee61f2863bcb417b27855cb63d63a3c53b73622174f7c5688b0d4dc159c_NI_43-101_Technical_Report_OM_for_the_Panasqueira_Project_in_Europe_Portugal_dated_2016_summary, 02596f3d7bfe5e58de85015cd0abf9eb2fff3bff407aa4ce89aaa23d5912d11798_NI_43-101_Technical_Report_for_the_Northern_Dancer_Project_in_North_America_dated_March_2011_summary, 028abb1176e1a8f66e0d09abb1f8249b316f289c285b6ff91747e4fecd76ed7570_NI_43-101_Technical_Report_for_the_Tabuaco_Project_in_Europe_Portugal_dated_November_2012_summary, 024c70b3884c47f3e5cb6faa65116f1d595bed318091532c9abc19f5b578f11809_NI_43-101_Technical_Report_for_the_Jersey-Emerald_Project_in_North_America_dated_February_2009_summary, 02535c4f674d8805775d2f1f50fafdaa51b248a5be809de9545d6ecb5b36f8c076_NI_43-101_Technical_Report_for_the_Mactung_Project_in_North_America_dated_May_2007_summary, 026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7_NI_43-101_Technical_Report_PEA_for_the_Springer_Project_in_Nevada_United_States_dated_2013_summary, 02945af605b10c33ab8f9b6892686262f39eab56ca1c046b08b018f3345668e9e8_NI_43-101_Technical_Report_for_the_Mount_Pleasant_Project_in_North_America_dated_August_2006_summary, 0282c948fe022812010a8038565908c020e63cda7f19dae55862689222c6a96725_NI_43-101_Technical_Report_for_the_Cantung_Project_in_North_America_dated_August_2009_summary, 02195e2ef16f106876aff4c08b7a53a04edc8630e7ee0a23f16b61a8b066892e8e_NI_43-101_Technical_Report_for_the_Wolfram_Camp_Project_in_Australasia_dated_April_2017_summary, 0204fc707f5b1944308624520cd422c4f1cb478046f66487b06a27e8fbd8f0fd86_NI_43-101_Technical_Report_OM_for_the_Los_Santos_Project_in_Europe_Spain_dated_2015_summary, 02c3ff37f5332e4d1b105253988c49a9409660975cd504c919ac375735831313bc_NI_43-101_Technical_Report_for_the_NMC_Moland_Project_in_Asia_South_Korea_dated_October_2009_summary","Added the evaluation for mining site names.
    "
month,0.721702682072646,0.721702682072646,9.0,21.0,12.0,0.42857142857142855,0.42857142857142855,"02a2b93ee61f2863bcb417b27855cb63d63a3c53b73622174f7c5688b0d4dc159c_NI_43-101_Technical_Report_OM_for_the_Panasqueira_Project_in_Europe_Portugal_dated_2016_summary, 02596f3d7bfe5e58de85015cd0abf9eb2fff3bff407aa4ce89aaa23d5912d11798_NI_43-101_Technical_Report_for_the_Northern_Dancer_Project_in_North_America_dated_March_2011_summary, 028abb1176e1a8f66e0d09abb1f8249b316f289c285b6ff91747e4fecd76ed7570_NI_43-101_Technical_Report_for_the_Tabuaco_Project_in_Europe_Portugal_dated_November_2012_summary, 024c70b3884c47f3e5cb6faa65116f1d595bed318091532c9abc19f5b578f11809_NI_43-101_Technical_Report_for_the_Jersey-Emerald_Project_in_North_America_dated_February_2009_summary, 02535c4f674d8805775d2f1f50fafdaa51b248a5be809de9545d6ecb5b36f8c076_NI_43-101_Technical_Report_for_the_Mactung_Project_in_North_America_dated_May_2007_summary, 026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7_NI_43-101_Technical_Report_PEA_for_the_Springer_Project_in_Nevada_United_States_dated_2013_summary, 02945af605b10c33ab8f9b6892686262f39eab56ca1c046b08b018f3345668e9e8_NI_43-101_Technical_Report_for_the_Mount_Pleasant_Project_in_North_America_dated_August_2006_summary, 0282c948fe022812010a8038565908c020e63cda7f19dae55862689222c6a96725_NI_43-101_Technical_Report_for_the_Cantung_Project_in_North_America_dated_August_2009_summary, 02195e2ef16f106876aff4c08b7a53a04edc8630e7ee0a23f16b61a8b066892e8e_NI_43-101_Technical_Report_for_the_Wolfram_Camp_Project_in_Australasia_dated_April_2017_summary, 0204fc707f5b1944308624520cd422c4f1cb478046f66487b06a27e8fbd8f0fd86_NI_43-101_Technical_Report_OM_for_the_Los_Santos_Project_in_Europe_Spain_dated_2015_summary, 02c3ff37f5332e4d1b105253988c49a9409660975cd504c919ac375735831313bc_NI_43-101_Technical_Report_for_the_NMC_Moland_Project_in_Asia_South_Korea_dated_October_2009_summary","Added the evaluation for mining site names.
    "
commodity_observed_name,0.5321196175598097,0.9698251485824585,190.0,214.0,498.0,0.2761627906976744,0.8878504672897196,"02a2b93ee61f2863bcb417b27855cb63d63a3c53b73622174f7c5688b0d4dc159c_NI_43-101_Technical_Report_OM_for_the_Panasqueira_Project_in_Europe_Portugal_dated_2016_summary, 02596f3d7bfe5e58de85015cd0abf9eb2fff3bff407aa4ce89aaa23d5912d11798_NI_43-101_Technical_Report_for_the_Northern_Dancer_Project_in_North_America_dated_March_2011_summary, 028abb1176e1a8f66e0d09abb1f8249b316f289c285b6ff91747e4fecd76ed7570_NI_43-101_Technical_Report_for_the_Tabuaco_Project_in_Europe_Portugal_dated_November_2012_summary, 024c70b3884c47f3e5cb6faa65116f1d595bed318091532c9abc19f5b578f11809_NI_43-101_Technical_Report_for_the_Jersey-Emerald_Project_in_North_America_dated_February_2009_summary, 02535c4f674d8805775d2f1f50fafdaa51b248a5be809de9545d6ecb5b36f8c076_NI_43-101_Technical_Report_for_the_Mactung_Project_in_North_America_dated_May_2007_summary, 026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7_NI_43-101_Technical_Report_PEA_for_the_Springer_Project_in_Nevada_United_States_dated_2013_summary, 02945af605b10c33ab8f9b6892686262f39eab56ca1c046b08b018f3345668e9e8_NI_43-101_Technical_Report_for_the_Mount_Pleasant_Project_in_North_America_dated_August_2006_summary, 0282c948fe022812010a8038565908c020e63cda7f19dae55862689222c6a96725_NI_43-101_Technical_Report_for_the_Cantung_Project_in_North_America_dated_August_2009_summary, 02195e2ef16f106876aff4c08b7a53a04edc8630e7ee0a23f16b61a8b066892e8e_NI_43-101_Technical_Report_for_the_Wolfram_Camp_Project_in_Australasia_dated_April_2017_summary, 0204fc707f5b1944308624520cd422c4f1cb478046f66487b06a27e8fbd8f0fd86_NI_43-101_Technical_Report_OM_for_the_Los_Santos_Project_in_Europe_Spain_dated_2015_summary, 02c3ff37f5332e4d1b105253988c49a9409660975cd504c919ac375735831313bc_NI_43-101_Technical_Report_for_the_NMC_Moland_Project_in_Asia_South_Korea_dated_October_2009_summary","Added the evaluation for mining site names.
    "
category_observed_name,0.45264718353556194,0.8232136389719926,186.0,214.0,502.0,0.2703488372093023,0.8691588785046729,"02a2b93ee61f2863bcb417b27855cb63d63a3c53b73622174f7c5688b0d4dc159c_NI_43-101_Technical_Report_OM_for_the_Panasqueira_Project_in_Europe_Portugal_dated_2016_summary, 02596f3d7bfe5e58de85015cd0abf9eb2fff3bff407aa4ce89aaa23d5912d11798_NI_43-101_Technical_Report_for_the_Northern_Dancer_Project_in_North_America_dated_March_2011_summary, 028abb1176e1a8f66e0d09abb1f8249b316f289c285b6ff91747e4fecd76ed7570_NI_43-101_Technical_Report_for_the_Tabuaco_Project_in_Europe_Portugal_dated_November_2012_summary, 024c70b3884c47f3e5cb6faa65116f1d595bed318091532c9abc19f5b578f11809_NI_43-101_Technical_Report_for_the_Jersey-Emerald_Project_in_North_America_dated_February_2009_summary, 02535c4f674d8805775d2f1f50fafdaa51b248a5be809de9545d6ecb5b36f8c076_NI_43-101_Technical_Report_for_the_Mactung_Project_in_North_America_dated_May_2007_summary, 026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7_NI_43-101_Technical_Report_PEA_for_the_Springer_Project_in_Nevada_United_States_dated_2013_summary, 02945af605b10c33ab8f9b6892686262f39eab56ca1c046b08b018f3345668e9e8_NI_43-101_Technical_Report_for_the_Mount_Pleasant_Project_in_North_America_dated_August_2006_summary, 0282c948fe022812010a8038565908c020e63cda7f19dae55862689222c6a96725_NI_43-101_Technical_Report_for_the_Cantung_Project_in_North_America_dated_August_2009_summary, 02195e2ef16f106876aff4c08b7a53a04edc8630e7ee0a23f16b61a8b066892e8e_NI_43-101_Technical_Report_for_the_Wolfram_Camp_Project_in_Australasia_dated_April_2017_summary, 0204fc707f5b1944308624520cd422c4f1cb478046f66487b06a27e8fbd8f0fd86_NI_43-101_Technical_Report_OM_for_the_Los_Santos_Project_in_Europe_Spain_dated_2015_summary, 02c3ff37f5332e4d1b105253988c49a9409660975cd504c919ac375735831313bc_NI_43-101_Technical_Report_for_the_NMC_Moland_Project_in_Asia_South_Korea_dated_October_2009_summary","Added the evaluation for mining site names.
    "
ore_unit_observed_name,0.5401067320759814,0.9664837547710964,192.0,214.0,496.0,0.27906976744186046,0.897196261682243,"02a2b93ee61f2863bcb417b27855cb63d63a3c53b73622174f7c5688b0d4dc159c_NI_43-101_Technical_Report_OM_for_the_Panasqueira_Project_in_Europe_Portugal_dated_2016_summary, 02596f3d7bfe5e58de85015cd0abf9eb2fff3bff407aa4ce89aaa23d5912d11798_NI_43-101_Technical_Report_for_the_Northern_Dancer_Project_in_North_America_dated_March_2011_summary, 028abb1176e1a8f66e0d09abb1f8249b316f289c285b6ff91747e4fecd76ed7570_NI_43-101_Technical_Report_for_the_Tabuaco_Project_in_Europe_Portugal_dated_November_2012_summary, 024c70b3884c47f3e5cb6faa65116f1d595bed318091532c9abc19f5b578f11809_NI_43-101_Technical_Report_for_the_Jersey-Emerald_Project_in_North_America_dated_February_2009_summary, 02535c4f674d8805775d2f1f50fafdaa51b248a5be809de9545d6ecb5b36f8c076_NI_43-101_Technical_Report_for_the_Mactung_Project_in_North_America_dated_May_2007_summary, 026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7_NI_43-101_Technical_Report_PEA_for_the_Springer_Project_in_Nevada_United_States_dated_2013_summary, 02945af605b10c33ab8f9b6892686262f39eab56ca1c046b08b018f3345668e9e8_NI_43-101_Technical_Report_for_the_Mount_Pleasant_Project_in_North_America_dated_August_2006_summary, 0282c948fe022812010a8038565908c020e63cda7f19dae55862689222c6a96725_NI_43-101_Technical_Report_for_the_Cantung_Project_in_North_America_dated_August_2009_summary, 02195e2ef16f106876aff4c08b7a53a04edc8630e7ee0a23f16b61a8b066892e8e_NI_43-101_Technical_Report_for_the_Wolfram_Camp_Project_in_Australasia_dated_April_2017_summary, 0204fc707f5b1944308624520cd422c4f1cb478046f66487b06a27e8fbd8f0fd86_NI_43-101_Technical_Report_OM_for_the_Los_Santos_Project_in_Europe_Spain_dated_2015_summary, 02c3ff37f5332e4d1b105253988c49a9409660975cd504c919ac375735831313bc_NI_43-101_Technical_Report_for_the_NMC_Moland_Project_in_Asia_South_Korea_dated_October_2009_summary","Added the evaluation for mining site names.
    "
ore_value,0.36115389389579555,0.6814961585959097,142.0,214.0,546.0,0.2063953488372093,0.6635514018691588,"02a2b93ee61f2863bcb417b27855cb63d63a3c53b73622174f7c5688b0d4dc159c_NI_43-101_Technical_Report_OM_for_the_Panasqueira_Project_in_Europe_Portugal_dated_2016_summary, 02596f3d7bfe5e58de85015cd0abf9eb2fff3bff407aa4ce89aaa23d5912d11798_NI_43-101_Technical_Report_for_the_Northern_Dancer_Project_in_North_America_dated_March_2011_summary, 028abb1176e1a8f66e0d09abb1f8249b316f289c285b6ff91747e4fecd76ed7570_NI_43-101_Technical_Report_for_the_Tabuaco_Project_in_Europe_Portugal_dated_November_2012_summary, 024c70b3884c47f3e5cb6faa65116f1d595bed318091532c9abc19f5b578f11809_NI_43-101_Technical_Report_for_the_Jersey-Emerald_Project_in_North_America_dated_February_2009_summary, 02535c4f674d8805775d2f1f50fafdaa51b248a5be809de9545d6ecb5b36f8c076_NI_43-101_Technical_Report_for_the_Mactung_Project_in_North_America_dated_May_2007_summary, 026f12b605e4bf2de3422dc9d6c46137d4352830e62633c37eee997fb83d8a8ad7_NI_43-101_Technical_Report_PEA_for_the_Springer_Project_in_Nevada_United_States_dated_2013_summary, 02945af605b10c33ab8f9b6892686262f39eab56ca1c046b08b018f3345668e9e8_NI_43-101_Technical_Report_for_the_Mount_Pleasant_Project_in_North_America_dated_August_2006_summary, 0282c948fe022812010a8038565908c020e63cda7f19dae55862689222c6a96725_NI_43-101_Technical_Report_for_the_Cantung_Project_in_North_America_dated_August_2009_summary, 02195e2ef16f106876aff4c08b7a53a04edc8630e7ee0a23f16b61a8b066892e8e_NI_43-101_Technical_Report_for_the_Wolfram_Camp_Project_in_Australasia_dated_April_2017_summary, 0204fc707f5b1944308624520cd422c4f1cb478046f66487b06a27e8fbd8f0fd86_NI_43-101_Technical_Report_OM_for_the_Los_Santos_Project_in_Europe_Spain_dated_2015_summary, 02c3ff37f5332e4d1b105253988c49a9409660975cd504c919ac375735831313bc_NI_43-101_Technical_Report_for_the_NMC_Moland_Project_in_Asia_South_Korea_dated_October_2009_summary","Added the evaluation for mining site names.
    "
