commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Praseodymium,indicated,tonnes,8483000.0,ppm,381,C$/t,260,,Open Pit
Neodymium,indicated,tonnes,8483000.0,ppm,1422,C$/t,260,,Open Pit
Dysprosium,indicated,tonnes,8483000.0,ppm,187,C$/t,260,,Open Pit
Terbium,indicated,tonnes,8483000.0,ppm,32,C$/t,260,,Open Pit
Praseodymium,inferred,tonnes,1441000.0,ppm,329,C$/t,260,,Open Pit
Neodymium,inferred,tonnes,1441000.0,ppm,1231,C$/t,260,,Open Pit
Dysprosium,inferred,tonnes,1441000.0,ppm,179,C$/t,260,,Open Pit
Terbium,inferred,tonnes,1441000.0,ppm,30,C$/t,260,,Open Pit
Praseodymium,indicated,tonnes,6611000.0,ppm,368,C$/t,260,,Underground
Neodymium,indicated,tonnes,6611000.0,ppm,1376,C$/t,260,,Underground
Dysprosium,indicated,tonnes,6611000.0,ppm,182,C$/t,260,,Underground
Terbium,indicated,tonnes,6611000.0,ppm,31,C$/t,260,,Underground
Praseodymium,inferred,tonnes,4862000.0,ppm,380,C$/t,260,,Underground
Neodymium,inferred,tonnes,4862000.0,ppm,1427,C$/t,260,,Underground
Dysprosium,inferred,tonnes,4862000.0,ppm,191,C$/t,260,,Underground
Terbium,inferred,tonnes,4862000.0,ppm,33,C$/t,260,,Underground
Praseodymium,indicated,tonnes,15094000.0,ppm,375,C$/t,260,,Totals
Neodymium,indicated,tonnes,15094000.0,ppm,1402,C$/t,260,,Totals
Dysprosium,indicated,tonnes,15094000.0,ppm,185,C$/t,260,,Totals
Terbium,indicated,tonnes,15094000.0,ppm,32,C$/t,260,,Totals
Praseodymium,inferred,tonnes,6303000.0,ppm,369,C$/t,260,,Totals
Neodymium,inferred,tonnes,6303000.0,ppm,1382,C$/t,260,,Totals
Dysprosium,inferred,tonnes,6303000.0,ppm,188,C$/t,260,,Totals
Terbium,inferred,tonnes,6303000.0,ppm,32,C$/t,260,,Totals
