commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
lithium,measured,million tonnes,12.998,percent,1.60,percent,0.43,,Estimated
lithium,indicated,million tonnes,14.993,percent,1.54,percent,0.43,,Estimated
lithium,measured+indicated,million tonnes,27.991,percent,1.57,percent,0.43,,Estimated
lithium,inferred,million tonnes,4.686,percent,1.51,percent,0.43,,Estimated
lithium,proven,million tonnes,11.7,percent,1.58,,,,Whabouchi Open Pit
lithium,probable,million tonnes,8.3,percent,1.46,,,,Whabouchi Open Pit
lithium,proven+probable,million tonnes,20.0,percent,1.53,,,,Whabouchi Open Pit
lithium,proven,million tonnes,13.3,percent,1.54,,,,Combined Whabouchi
lithium,probable,million tonnes,14.0,percent,1.39,,,,Combined Whabouchi
lithium,proven+probable,million tonnes,27.3,percent,1.46,,,,Combined Whabouchi
