commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Tungsten,measured,tonnes,51000.0,percent,0.18,percent,0.12,,L0
Tungsten,measured,tonnes,706000.0,percent,0.20,percent,0.12,,L1
Tungsten,measured,tonnes,468000.0,percent,0.20,percent,0.12,,L2
Tungsten,measured,tonnes,727000.0,percent,0.21,percent,0.12,,L3
Tungsten,measured,tonnes,1951000.0,percent,0.20,percent,0.12,,Total
Tungsten,indicated,tonnes,1038000.0,percent,0.23,percent,0.12,,L0
Tungsten,indicated,tonnes,1314000.0,percent,0.21,percent,0.12,,L1
Tungsten,indicated,tonnes,2984000.0,percent,0.24,percent,0.12,,L2
Tungsten,indicated,tonnes,2396000.0,percent,0.25,percent,0.12,,L3
Tungsten,indicated,tonnes,343000.0,percent,0.22,percent,0.12,,L4
Tungsten,indicated,tonnes,8076000.0,percent,0.24,percent,0.12,,Total
Tungsten,measured+indicated,tonnes,1089000.0,percent,0.22,percent,0.12,,L0
Tungsten,measured+indicated,tonnes,2020000.0,percent,0.20,percent,0.12,,L1
Tungsten,measured+indicated,tonnes,3452000.0,percent,0.24,percent,0.12,,L2
Tungsten,measured+indicated,tonnes,3123000.0,percent,0.24,percent,0.12,,L3
Tungsten,measured+indicated,tonnes,343000.0,percent,0.22,percent,0.12,,L4
Tungsten,measured+indicated,tonnes,10027000.0,percent,0.23,percent,0.12,,Total
Tungsten,inferred,tonnes,180000.0,percent,0.22,percent,0.13,,Panasqueira Deep
Tungsten,inferred,tonnes,2730000.0,percent,0.23,percent,0.13,,North
Tungsten,inferred,tonnes,2250000.0,percent,0.20,percent,0.13,,South
Tungsten,inferred,tonnes,5160000.0,percent,0.22,percent,0.13,,Total
Tungsten,proven,tonnes,25000.0,percent,0.19,percent,0.12,,Level 0
Tungsten,proven,tonnes,238000.0,percent,0.22,percent,0.12,,Level 1
Tungsten,proven,tonnes,216000.0,percent,0.21,percent,0.12,,Level 2
Tungsten,proven,tonnes,297000.0,percent,0.24,percent,0.12,,Level 3
Tungsten,proven,tonnes,775000.0,percent,0.22,percent,0.12,,Total
Tungsten,probable,tonnes,26000.0,percent,0.17,percent,0.12,,Level 0
Tungsten,probable,tonnes,468000.0,percent,0.18,percent,0.12,,Level 1
Tungsten,probable,tonnes,251000.0,percent,0.19,percent,0.12,,Level 2
Tungsten,probable,tonnes,431000.0,percent,0.19,percent,0.12,,Level 3
Tungsten,probable,tonnes,1176000.0,percent,0.19,percent,0.12,,Total
Tungsten,probable+proven,tonnes,51000.0,percent,0.18,percent,0.12,,Level 0
Tungsten,probable+proven,tonnes,706000.0,percent,0.20,percent,0.12,,Level 1
Tungsten,probable+proven,tonnes,468000.0,percent,0.20,percent,0.12,,Level 2
Tungsten,probable+proven,tonnes,727000.0,percent,0.21,percent,0.12,,Level 3
Tungsten,probable+proven,tonnes,1951000.0,percent,0.20,percent,0.12,,Total
