,Unnamed: 0,id,prediction,top1,top1_p,top2,top2_p,top3,top3_p,top4,top4_p,top5,top5_p,top1_id,top2_id,top3_id,top4_id,top5_id
0,26,4530692_2437MM2M_UPHCXA3I,"1. U-M intrusion nickel-copper-PGE, p=0.0815
2. U-M layered intrusion nickel-copper-PGE, p=0.0511
3. Ophiolite nickel-copper-PGE, p=0.0500
4. Arc U-M intru-sion nickel-copper-PGE, p=0.0391
5. Orogenic copper ± gold, p=0.0359
",U-M intrusion nickel-copper-PGE,0.0815191343426704,U-M layered intrusion nickel-copper-PGE,0.051108181476593,Ophiolite nickel-copper-PGE,0.0500002354383468,Arc U-M intru-sion nickel-copper-PGE,0.0390618480741977,Orogenic copper ± gold,0.0358745753765106,180,177,183,185,92
1,42,4530692_24W76KPD_AQ26WTKN,"1. U-M intrusion nickel-copper-PGE, p=0.0859
2. Arc U-M intru-sion nickel-copper-PGE, p=0.0793
3. U-M layered intrusion nickel-copper-PGE, p=0.0782
4. Anorthosite conduit nickel-copper-PGE, p=0.0699
5. U-M conduit nickel-copper-PGE, p=0.0668
",U-M intrusion nickel-copper-PGE,0.085859015583992,Arc U-M intru-sion nickel-copper-PGE,0.0792729556560516,U-M layered intrusion nickel-copper-PGE,0.0781712681055069,Anorthosite conduit nickel-copper-PGE,0.0698747411370277,U-M conduit nickel-copper-PGE,0.0668136924505233,180,185,177,187,181
2,48,4530692_25B3ZFSH_Z5XJUHIE,"1. Ophiolite nickel-copper-PGE, p=0.0485
2. Ferroan carbonate polymetallic, p=0.0400
3. Greisen tin ±W-Mo, p=0.0375
4. U-M intrusion nickel-copper-PGE, p=0.0372
5. Porphyry gold ± copper, p=0.0357
",Ophiolite nickel-copper-PGE,0.0484779104590415,Ferroan carbonate polymetallic,0.0399609953165054,Greisen tin ±W-Mo,0.0374939814209938,U-M intrusion nickel-copper-PGE,0.0371802784502506,Porphyry gold ± copper,0.0357185676693916,183,98,160,180,155
3,77,4530692_26ZXZM5R_6JBMIHE2,"1. U-M intrusion nickel-copper-PGE, p=0.1565
2. U-M conduit nickel-copper-PGE, p=0.0962
3. U-M layered intrusion PGE, p=0.0794
4. U-M layered intrusion nickel-copper-PGE, p=0.0599
5. Arc U-M intru-sion nickel-copper-PGE, p=0.0591
",U-M intrusion nickel-copper-PGE,0.1564535945653915,U-M conduit nickel-copper-PGE,0.0961871892213821,U-M layered intrusion PGE,0.0793920382857322,U-M layered intrusion nickel-copper-PGE,0.05988235399127,Arc U-M intru-sion nickel-copper-PGE,0.059126503765583,180,181,178,177,185
4,78,4530692_272U6RIU_CJVQ9A76,"1. U-M intrusion nickel-copper-PGE, p=0.0733
2. Orogenic copper ± gold, p=0.0583
3. Arc U-M intru-sion nickel-copper-PGE, p=0.0460
4. Anorthosite conduit nickel-copper-PGE, p=0.0388
5. Porphyry gold ± copper, p=0.0384
",U-M intrusion nickel-copper-PGE,0.0733250528573989,Orogenic copper ± gold,0.0582762099802494,Arc U-M intru-sion nickel-copper-PGE,0.0460118390619754,Anorthosite conduit nickel-copper-PGE,0.0387867204844951,Porphyry gold ± copper,0.0384240448474884,180,92,185,187,155
5,84,4530692_27AR3BRM_C5NRQDKT,"1. Impact U-M intrusion nickel-copper-PGE, p=0.0714
2. Orogenic copper ± gold, p=0.0426
3. Mesozonal orogenic gold, p=0.0395
4. U-M intrusion nickel-copper-PGE, p=0.0385
5. Ferroan carbonate polymetallic, p=0.0376
",Impact U-M intrusion nickel-copper-PGE,0.0714045539498329,Orogenic copper ± gold,0.0425873175263404,Mesozonal orogenic gold,0.0394881144165992,U-M intrusion nickel-copper-PGE,0.0384713448584079,Ferroan carbonate polymetallic,0.0375782139599323,188,92,87,180,98
6,87,4530692_27I4ZCTP_MEM3MSN7,"1. Anorthosite conduit nickel-copper-PGE, p=0.1207
2. U-M intrusion nickel-copper-PGE, p=0.1163
3. Arc U-M intru-sion nickel-copper-PGE, p=0.1109
4. U-M layered intrusion nickel-copper-PGE, p=0.0847
5. Ophiolite nickel-copper-PGE, p=0.0634
",Anorthosite conduit nickel-copper-PGE,0.1206774711608886,U-M intrusion nickel-copper-PGE,0.1162558495998382,Arc U-M intru-sion nickel-copper-PGE,0.1109372600913047,U-M layered intrusion nickel-copper-PGE,0.0847487077116966,Ophiolite nickel-copper-PGE,0.0633594021201133,187,180,185,177,183
7,94,4530692_27WDWMCT_SI6DASTI,"1. Sediment-hosted copper ± Co, p=0.0808
2. U-M intrusion nickel-copper-PGE, p=0.0733
3. U-M layered intrusion nickel-copper-PGE, p=0.0717
4. Volcanic-hosted copper, p=0.0686
5. U-M layered intrusion PGE, p=0.0455
",Sediment-hosted copper ± Co,0.0807865411043167,U-M intrusion nickel-copper-PGE,0.0733024105429649,U-M layered intrusion nickel-copper-PGE,0.0717219412326812,Volcanic-hosted copper,0.0686179846525192,U-M layered intrusion PGE,0.0455363281071186,73,180,177,72,178
8,99,4530692_28DW34XG_UWAQ73AC,"1. U-M intrusion nickel-copper-PGE, p=0.0787
2. Ophiolite chro-mium, p=0.0603
3. Ophiolite nickel-copper-PGE, p=0.0581
4. Algoma-type banded iron formation, p=0.0575
5. Arc U-M intru-sion nickel-copper-PGE, p=0.0492
",U-M intrusion nickel-copper-PGE,0.078732781112194,Ophiolite chro-mium,0.0603415966033935,Ophiolite nickel-copper-PGE,0.0580742098391056,Algoma-type banded iron formation,0.057481400668621,Arc U-M intru-sion nickel-copper-PGE,0.0491898171603679,180,182,183,113,185
9,109,4530692_29FQ68GN_GRCCMJKE,"1. U-M layered intrusion chromium, p=0.0749
2. Nodular magnesite, p=0.0614
3. Arc U-M intrusion titanium-vanadium, p=0.0610
4. Laterite magnesite, p=0.0503
5. U-M conduit nickel-copper-PGE, p=0.0390
",U-M layered intrusion chromium,0.0749210342764854,Nodular magnesite,0.0614472813904285,Arc U-M intrusion titanium-vanadium,0.0610128082334995,Laterite magnesite,0.0502693243324756,U-M conduit nickel-copper-PGE,0.0390043593943119,176,39,184,20,181
