File Name,Identified Commodities
New Polaris Au 2-2019.pdf,gold
Mehdiabad Zn 3-2005.pdf,"zinc, lead, silver, barite"
Jubilee Zn Pb 11-2007.pdf,"zinc, lead, barium-barite"
Empire State Zn 9-2017.pdf,
Reocin Zn 3-2002.pdf,"zinc, lead"
Greens Creek Pb Zn Ag 3-2013 OM.pdf,"gold, silver, copper, lead, zinc"
New Polaris Au 6-2002.pdf,gold
Daniels Harbour Zn 12-2017.pdf,"zinc, lead, galena, sphalerite"
Scotia Pb Zn 7-2020.pdf,"zinc, lead"
Florida Canyon Au 6-2020.pdf,gold
Red Dog Zn Pb Ag 2-2017 OM.pdf,"zinc, lead, silver"
Red Dog Zn 5-2001.pdf,"Zinc, Lead, Silver"
Bongará Zn 3-2019.pdf,zinc
Hakkira Zn 4-2011.pdf,"zinc, lead, silver"
Empire State Zn 5-2018 PEA.pdf,zinc
Greens Creek Au Ag Pb Zn 12-2018.pdf,"gold, silver, lead, zinc, copper"
Prairie Creek Zn Pb Ag 5-2016 PFS.pdf,"silver, lead, zinc, copper"
Florida Canyon Au 11-2018.pdf,gold
Hakkari Zn 7-2013.pdf,"zinc, lead, silver"
Prairie Creek Zn Pb Ag 9-2017 FS.pdf,"zinc, lead, silver, copper, antimony, arsenic, cadmium, mercury"
Tufanbeyli Zn 7-2013.pdf,"zinc, lead, silver"
Einarson Au 12-2020.pdf,gold
New Polaris Au 10-2006.pdf,gold
Tufanbeyli Zn 7-2011.pdf,"zinc, lead, silver"
New Polaris Au 10-2007.pdf,gold
Silvermines Zn Pb 11-2017.pdf,"zinc, lead, silver, barium-barite"
Scarlet Zn Pb 10-2011.pdf,"gold, mercury, thallium, antimony, lead, zinc, silver"
New Polaris Au 4-2011.pdf,gold
Hakkari Zn 3-2010.pdf,"zinc, lead, copper, gold, molybdenum"
BYP Au 6-2011.pdf,"gold, lead, zinc"
Scotia Pb Zn 7-2006.pdf,"zinc, lead"
Pine Point Zn Pb 12-2007.pdf,"zinc, lead, iron"
Galmoy Pb Zn Ag 4-2005.pdf,"zinc, lead, silver"
San Vicente Ag Pb Zn Au 9-2019.pdf,"silver, gold, zinc, lead, copper, arsenic, antimony, manganese, barium-barite, bismuth, cadmium, chromium, iron, nickel, sulfur, tellurium, titanium, tungsten"
San Vicente Ag Pb Zn Au 2-2018.pdf,"gold, silver, zinc, lead, copper, antimony, manganese"
Bleiberg Pb Zn 5-2017.pdf,"lead, zinc, cadmium, germanium, gallium, thallium"
