File Name,record_id,Identified Commodities
"NI 43-101 Technical Report for the Whistler Project in Alaska, United States dated March 2016.pdf",02d68d7253a5ba5f137bfa8bc8343698b68c5582f8b4059a4c91e9434a1377289c,"gold, copper, silver"
NI 43-101 Technical Report for the Ball Creek Project in North America dated July 2012.pdf,023b6fbcbcdc4222c843a68f1125f8a321d7e183e4029739d2e073470edfabfb57,"gold, silver, copper, molybdenum, lead, zinc"
"NI 43-101 Technical Report for the Rovina Valley Project in Europe, Romania dated January 2009.pdf",026b22dd9cce535c80d578f5598ade2801434de617f98c423706b74b21b3ae0842,"gold, copper"
NI 43-101 Technical Report for the Lorraine-Jajay Project in North America dated July 2004.pdf,023f34a1100eee6182a97bf698484a7265b271402e88b2752e9736cfc8517384f6,"copper, gold, silver, platinum, palladium, molybdenum"
NI 43-101 Technical Report for the Seel Project in North America dated June 2005.pdf,02ba97ea4a85794cd73e4dffcc941cbac9765ea638fd3536efdee71f28687654e1,"copper, gold, molybdenum, lead, zinc, silver, pyrite, arsenopyrite, sphalerite, chalcopyrite, galena"
NI 43-101 Technical Report for the Lorraine-Jajay Project in North America dated February 2008.pdf,024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5,"copper, gold, silver, palladium, platinum, molybdenum, vanadium"
"NI 43-101 Technical Report for the Mount Turner project in Australia dated December, 2021.pdf",027f955352aae1cb69ab5c513e509534478e84216e3ac2169a5ca55e774aed1ea1,"copper, molybdenum, silver, gold, arsenic, lead, zinc"
"NI 43-101 Technical Report for the Red Chris project in Canada dated June, 2021.pdf",0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907,"copper, gold, silver"
"NI 43-101 Technical Report for the Gold Hill Project in Alaska, United States dated July 2004.pdf",023cfb1faaecf8d1d8db5a7c3449bd24c7f4a6fc994839ba074d00b7bae28298d0,"gold, copper, molybdenum, silver, zinc, tungsten"
NI 43-101 Technical Report for the Sonora Gulch Project in North America dated February 2011.pdf,02fe20259f4ec58f858f200e6466cef4dc8bc5d0a513d90977ea3920e208aa6103,"gold, silver, copper, molybdenum, arsenic, lead, zinc"
NI 43-101 Technical Report for the Red Chris Project in North America dated May 2010.pdf,021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445,"copper, gold"
"NI 43-101 Technical Report for the Podpolom Project in Europe, Slovakia dated March 2006.pdf",021639dd82455469880eabc73dc0bd32cac7bd5b0483e21cb875e7dcc7ce9de43b,"gold, copper"
"NI 43-101 Technical Report for the Redonda project in Canada dated March, 2022.pdf",0266e9272ad2a7f6b36fe18b7172d7555910667ece8c786afb12c976b4da7863ec,"copper, molybdenum, gold, silver, rhenium, pyrite"
NI 43-101 Technical Report for the Dungate Project in Canada dated 2019.pdf,02beef9783e08e62b4eecba7c358188176b4461b4f2a4ead152906d5e987b1a1c9,"copper, gold, molybdenum, silver, mercury, arsenic, selenium, tellurium"
"NI 43-101 Technical Report for the Tanacross Project in Alaska, United States dated August 2020.pdf",02a2d9791c16eb63b084bf35834767e716ac172707885ae50224321f7bd1d03e5a,"copper, molybdenum, gold, silver"
"NI 43-101 Technical Report for the Rovina Valley project in Romania dated March, 2022.pdf",02003096a4646d77019ce2e76ba93c8e2242a7a8ae7734176781080368f32772c9,"gold, copper"
"NI 43-101 Technical Report for the Tulare-Kiseljak Project in Europe, Serbia dated November 2012.pdf",02824cd163fb81437bff964bbf5af55f2a41251a91ffa4d8687b1572564acf3376,"copper, gold, molybdenum, lead, zinc"
"NI 43-101 Technical Report for the Podpolom Project in Europe, Slovakia dated 2004.pdf",02df057d15fe78ee8248732c3cd223018debc55ddf713f55184f657b4ca3c45b44,gold
NI 43-101 Technical Report for the Donnelly-GJ Project in North America dated April 2016.pdf,02908777f9ab24f02fcc80b6f36b1ba8488dd81858794297892456145689d69cfa,"copper, gold, molybdenum"
"NI 43-101 Technical Report for the Cristo Project in Alaska, United States dated July 2011.pdf",0296334037ab099b053099aa5915cb57ff70e7c0143383e2209f313264063c2551,"gold, copper, molybdenum"
NI 43-101 Technical Report for the Ash Project in North America dated January 2011.pdf,02893bdd240ea316f04348600855941ec8a07e17ad6b3d5937f5bddbdd6f4d4727,"arsenic, silver, gold, copper, zinc, tin, molybdenum, tungsten, antimony, fluorine"
NI 43-101 Technical Report for the Kinaskan Lake Project in North America dated May 2005.pdf,02df6bbca78257ce2e2bd47a455189e560508ad20fb695b32d1f882a99cd8badf0,"copper, gold, silver"
NI 43-101 Technical Report for the Bronson Slope Project in North America dated January 2010.pdf,02118e7d9968a616f289ae3a5cfb3ec74dae5e9440e5bf64d30205ff6848865795,"gold, silver, copper, molybdenum"
"NI 43-101 Technical Report for the Rovina-Apuseni Project in Europe, Romania dated May 2007.pdf",028e9e257004d38362ed78330d5bd3cb629d4e530cce61380a6d0c021921c93854,"copper, gold"
NI 43-101 Technical Report for the Kemess South Project in North America dated April 2005.pdf,0211abf6809d0e07697c0a93bbde2fed21616e3f65d9f439ef54e3c5ec07c96ddb,"copper, gold, silver"
NI 43-101 Technical Report for the Kerr-Sulphurets-Mitchell Project in North America dated March 2009.pdf,0271aee06aa294a1b6462d9627407216783c1099acb25467a90c097d709242cfcf,"gold, copper, molybdenum, silver"
NI 43-101 Technical Report for the Zymo Project in Canada dated March 2019.pdf,0208e145fe6b2442e598b53460c1ea91d5aff6ec3d0c6285a52fcf0c14755acb22,"gold, silver, copper, molybdenum, antimony, lead, zinc, arsenic"
"NI 43-101 Technical Report for the Whistler Project in Alaska, United States dated September 2007.pdf",02c4dfe31bb57da226b14ffc1205519e8a56a6d087922f8346736f552d4cbdbf25,"copper, gold, iron, manganese, molybdenum, nickel, silver, zinc"
"NI 43-101 Technical Report for the Chorcha Project in Central America, Panama dated April 2006.pdf",02a76bf024413d5bde3b7d524e408550062ce44f1556dc3d64a19566d0cffb5de8,
NI 43-101 Technical Report for the Porphyry Pearl Project in North America dated February 2005.pdf,024cf676c7043c7db4acc2d1fb874180a4d08c78b5a61a4a8ce2b700be0f2938ea,"commodity1, commodity2"
NI 43-101 Technical Report for the Valeriano Project in Chile dated November 2020.pdf,02fdada3326d27ec6582c962c1f66e1386646b52a6dd5cce357c20d76006043aad,"copper, gold, silver"
NI 43-101 Technical Report for the Ash Project in North America dated June 2008.pdf,02176180c9f0b1de6377782c666124dc95b786994a2c187ae8cea72d08e68b63b9,"copper, molybdenum, gold, silver, zinc, tin, tungsten, antimony, fluorine"
NI 43-101 Technical Report for the Mount Milligan Project in North America dated October 2011.pdf,02dca87acf2a7e44301719716c582311204ee650e1535ab3673c57146d98f33199,"copper, gold, silver"
"NI 43-101 Technical Report for the Skouries Project in Europe, Greece dated May 2007.pdf",0204a8a525576c06b07b624e4001d92a20fddc23a70ab4fcb7d9f9e9ce998b50fc,"gold, copper"
NI 43-101 Technical Report for the Lucifer Project in North America dated September 2017.pdf,02f26ce6ffb496fb90a01a1e118a6c8232aba2f67ff6f285310ca5c69b86ef5038,"copper, gold, silver, pyrite, molybdenite"
NI 43-101 Technical Report for the Iron Lake Project in North America dated September 2002.pdf,02d27b5d3e5be05d2d17e78ed797777403182b475ab696c27098159c5f230c2eb2,"copper, gold, platinum, palladium"
"NI 43-101 Technical Report for the Big Onion project in Canada dated January, 2022.pdf",02c1f2d2c3faacbecdbec8dfe64cee607caa8545ef012d9dae2d7070ac835d7dd4,"copper, gold, silver, molybdenum, zinc, lead"
NI 43-101 Technical Report (PEA) for the Kwanika Project in North America dated 2017.pdf,02282971b6ef3459b289f53b69054519af9a099a7590ec1178cedd4bd35aa7b9f8,"copper, gold, silver, molybdenum"
NI 43-101 Technical Report for the Lac des Pics Project in North America dated September 2007.pdf,02efeed6056494b8a90c660934ec80c7c670b6ffbad1df70164a62642d9ab106e4,"commodity1, commodity2"
NI 43-101 Technical Report for the Bonaparte Project in North America dated April 2009.pdf,0216ce295bd351da03b69583c2d9bf2111dd0b88296886dc899b2214a2a71ba1c4,"copper, molybdenum, silver, gold, lead, zinc"
"NI 43-101 Technical Report for the Pinnacle project in Canada dated July, 2021.pdf",0280dd39db87bc17343a6e269958494abad931a12bfd94de16b820572fe1ec414e,"gold, copper"
NI 43-101 Technical Report for the Arnagnac Project in North America dated October 2003.pdf,02cb8f983d4c05030e1683ed675cffca2c0fd629d96ff853fc08f402bbd1fa01bd,"gold, silver, copper, platinum-group elements, lead, zinc"
"NI 43-101 Technical Report for the Big Red project in Canada dated June, 2021.pdf",02a6fa24bea35cc2f944b12e169a2bfc0068c3699ac8314fe61404229e5492f46a,"gold, silver, copper, zinc, lead, iron ore, coal, cobalt, nickel, tin"
NI 43-101 Technical Report for the Lustdust Project in North America dated October 2012.pdf,02488edf815d681252c066ff11e8d05d6e52543cf30f325485356655a28c99d645,"copper, gold, silver, molybdenum, zinc"
NI 43-101 Technical Report for the Duke Project in Canada dated April 2020.pdf,02fa3928baf927fb5c4682c0b6cf7debe4e6401f24a7ef048900d5d0b0b0e8b8f8,"copper, molybdenum, silver, gold"
NI 43-101 Technical Report for the Springpole Project in North America dated October 2017.pdf,02b1d9c5ba61ff062d81ba788ba64b7f20d95db28590ecea49db34abb963ed50ad,"gold, silver"
NI 43-101 Technical Report for the Logan Lake Project in North America dated February 2012.pdf,02f0d7958dce5bd29e919c541b5361fdf78d1e7c88dfd5819661346e8ddab6df8d,"molybdenum, uranium, copper, zinc, gold, silver, lead, antimony, bismuth, cadmium, nickel, iron, potassium, magnesium"
NI 43-101 Technical Report for the Cerro San Pedro Project in North America dated November 2000.pdf,020cd7ba1424ef70f5391d9bc98844d3fb099432d2dcd326391eb35e3becabe7d1,"gold, silver, zinc, lead, copper"
NI 43-101 Technical Report for the Cat Mountain Project in North America dated May 2013.pdf,02e975ce12c798da5228a5e4569dbd5ff1b4da5fb5f167076ffb39dd45388882e6,"gold, silver"
"NI 43-101 Technical Report (4) for the Kisladag v Project in Middle East, Turkey dated 2003.pdf",02426f75c132cb7a45f7b03169a3df24ac2c8140b757264aa847359aab30663557,"gold, molybdenum, zinc, lead, copper"
