File Name,record_id,Identified Commodities
"NI 43-101 Technical Report for the Clayton Ridge project in Nevada, United States dated December, 2021.pdf",02d3783e4113de6d6cd37966ead9e3ba4e9bbf0b3d1d310bbf9da809cf28d519f1,lithium
"NI 43-101 Technical Report for the Blue Clay project in Nevada, United States dated September, 2022.pdf",02ecf13f35c3cad46961b0c35301d67482bace93b689b2e2988936617438b37e62,"lithium, gold, arsenic, barium, silver"
"NI 43-101 Technical Report for the Clayton Valley Project in Nevada, United States dated March 2009.pdf",02b7c6bd13c41f17fbbc1392f57b0f0829308af291e3ac49b4f905937ba6e4feb1,lithium
"NI 43-101 Technical Report for the Eli project in Nevada, United States dated May, 2022.pdf",02e33a07b66e9bd6954474ee2e561e6d8f21affb18fe0d9a0bf92920b10c61c10f,"commodity1, commodity2"
"NI 43-101 Technical Report for the Clayton Deep Project in Nevada, United States dated March 2013.pdf",027dac5e873361536e7014d1f6f7c6b3c8db6ef317a8c7132da8ef66c70f887c75,lithium
NI 43-101 Technical Report for the Maiden Project in North America dated March 2012.pdf,02b07164845498eb829879debbe338f4dd8fa9518b6e3493ca57eb1b8307fb2506,"lithium, potassium, boron, bromine, calcium, magnesium, sodium"
"NI 43-101 Technical Report for the Panamint Valley Project in California, United States dated March 2018.pdf",020ed77664a27672c71e51425b9b8a4582aadc2d3ccf6c84086b46c8efeaa6683a,"lithium, cobalt, graphite"
NI 43-101 Technical Report for the Cauchari-Olaroz Project in Argentina dated August 2019.pdf,02f2c23abb865dc5355895e0717bfb294e347fc5c2e6e3a780630680e2ff5269a1,"lithium, potassium"
NI 43-101 Technical Report for the Cauchari-Olaroz Project in Argentina dated September 2020.pdf,027e7942cc57b4c83636296d111fdef895390b0a6005dced68797f2c70770a0f43,"lithium, potassium"
"NI 43-101 Technical Report for the Clayton Valley Project in Nevada, United States dated March 2018.pdf",02bd7f8806d307e40efdababea9c1ba0f16de280a8021b0de5f5ce0d8508f3c250,lithium
NI 43-101 Technical Report for the Tolillar Project in Argentina dated October 2019.pdf,02458874ab8505a24f51fbfb091b7df3f42e3e695e412c9ce5bc1d1abb2a1f8047,"lithium, potassium, sodium sulfate, borates"
"NI 43-101 Technical Report for the Black Desert Project in Nevada, United States dated October 2016.pdf",02e8d4a5fec011ae40faa09bca4bef039d9b0d656c7a0ca85626d78843ec1f0b50,lithium
"NI 43-101 Technical Report for the Sarcobatus Flat Project in Nevada, United States dated November 2016.pdf",0242fccfa1b933e502b156bb5d61960e4cddc88fa0a960553f91d3fa324190b025,lithium
NI 43-101 Technical Report for the El Sauz-Fleur Project in North America dated 2013.pdf,0253cd6b30f3705c52ff2968649c48c4f1b1f28061713cb551bb2e1762361871ec,"lithium, potassium, rubidium, cesium, magnesium, strontium"
"NI 43-101 Technical Report for the Big Smokey Valley Project in Nevada, United States dated February 2017.pdf",02742c186072b827081f2272adc6b6856f0016b155cbb98ddeab5a7a7dec8d97b2,"lithium, boron, potassium, magnesium"
"NI 43-101 Technical Report for the Itinga project in Brazil dated March, 2022.pdf",0255a2bbf2d359f6daf2ee23dfd912eb021bd53ec8168cbd8569ff3823b6ca8633,lithium
"NI 43-101 Technical Report for the Salar de Arizaro project in Chile dated February, 2022.pdf",0279ec1dfb5e9f19413a554db28ca7c35911d37d329859fe8404863dd6eccba72a,lithium
"NI 43-101 Technical Report for the CV-DB Project in Nevada, United States dated 2014.pdf",028012118adac289cbb289b738ec4cd74fa42de2e099d232ec7da43ef403dc146d,lithium
NI 43-101 Technical Report for the Baavhai Uul Project in Mongolia dated August 2019.pdf,024d70da524ed4168aed6177ae7c6e184c1b447e9a9b96d1596994d3e11e54e852,lithium
"NI 43-101 Technical Report for the Green Energy project in Utah, United States dated March, 2022.pdf",025e66eaff5ba5818fe3315c68c33704dfea78884618880727a1c8c941165d3196,lithium
"NI 43-101 Technical Report for the United Big Smokey Project in Nevada, United States dated July 2017.pdf",02c293d15b6c6806ca933c4b2e743986565ad2aa849e118346d0baecedeed29659,"lithium, boron"
NI 43-101 Technical Report for the Sonora Project in North America dated 2015.pdf,02c2ae8fc934cdf9f847839e7eb1e1afaef46dee32a0bf6141da57b22e4a3abec4,lithium
NI 43-101 Technical Report for the Sonora Project in North America dated June 2015.pdf,02c7aaeba47f66bf9721bb652a3c859a9172da745d53a9407891e120f77dac0bd2,lithium
"NI 43-101 Technical Report for the Humboldt Salt Marsh Project in Nevada, United States dated August 2016.pdf",02c853007b7f1aa6b615e3a1bbf51582b06be18cbebf16edd6671d5fa6484155b6,lithium
"NI 43-101 Technical Report for the Neptune Project in Nevada, United States dated March 2016.pdf",0279ce59b3c7f5c8f84a76626f3c25faf6e344fa8404003949d897c0818af0e011,lithium
NI 43-101 Technical Report for the Sturgeon Lake Ca Na Project in North America dated January 2016.pdf,026ee02da5c947be51a0e377776154e896444fbe9336354b4d865b3ecfa80cd8d2,"potassium, boron, bromine, calcium, magnesium, sodium, lithium"
"NI 43-101 Technical Report for the Lanxess Project in Arkansas, United States dated August 2019.pdf",029ea282ff1dbaee6a1c1417ff1b3614a06fe51bdebb1e4061308be34a8d6ff112,"lithium, bromine"
"NI 43-101 Technical Report for the Clayton Valley Project in Nevada, United States dated January 2017.pdf",0208b2323ad3f39c21209360b865d3c238bae45b77fe4e5b98bfd0c5e9a61654a5,"lithium, gypsum"
