File Name,record_id,Identified Commodities
"NI 43-101 Technical Report for the Gold Basin Project in Arizona, United States dated October 2011.pdf",0281c869068818160dfea62039277a05196be0e3c3993abb5b3564a4cf7097d477,"gold, silver, copper, lead, zinc, mercury"
"NI 43-101 Technical Report for the Soledad Mountain Project in California, United States dated January 2008.pdf",0264ce3186e07cae1162d1f75368ebaa6b501609a1952ac4f31a03cb1fa6bb3537,"gold, silver"
"NI 43-101 Technical Report for the Torlon Hill Project in Central America, Guatemala dated 2008.pdf",02113ca702c46a53209531854d1982773cd162418ebdf8e5434449ae252f693150,"zinc, lead, silver"
NI 43-101 Technical Report for the Boundary Falls Project in North America dated June 2016.pdf,02ae35f9cd777fa9e42a3788256e8de8543702a95a94e5d6a629ac32d47e06a3b9,"gold, silver, lead, zinc, copper"
NI 43-101 Technical Report for the McGarry Project in North America dated August 2003.pdf,02ccb5d5602155759ce42427c5978bece96d63bd71d574b255923aa4478eb81a01,
NI 43-101 Technical Report for the Penasco Quemado Project in North America dated March 2006.pdf,02de5a9e3225d2c916932a76b4f22955d820d89cf839f40b92b34c146f2ebe9111,"silver, copper, manganese, gold"
NI 43-101 Technical Report for the Cordero-Sanson Project in North America dated July 2008.pdf,024a7f275c00fe7d4aa1f611b4562379a83457d208dd0a1d0d6d56a0e203520807,"silver, lead, zinc, gold, copper, molybdenum"
"NI 43-101 Technical Report for the Robinson Project in Nevada, United States dated June 2004.pdf",02b19d581ef47a7d431d1eb929ce87f4233a9d83a93d43eed25eef5dc142a4e04a,"copper, molybdenum, gold"
"NI 43-101 Technical Report for the Consolidated Caribou Project in Colorado, United States dated February 2011.pdf",0274d972ad344eb0f09f7fa6dfcd7b86a37c0bd4f8bb36ea887e2a54f1aeee7a0c,"gold, silver, copper, lead, zinc"
"NI 43-101 Technical Report for the New Elk Project in Colorado, United States dated March 2010.pdf",0277a7d3f92948047d2e4b55355a97f1d4632184056b9af0fa782eeaae8c2e8bc9,bituminous coal
"NI 43-101 Technical Report for the Mount Hope Project in Nevada, United States dated April 2008.pdf",02a4b5f51ba90bffac39e4c95b2045fe612c5d60d31976127b08fe8a79a097cdc8,molybdenum
