File Name,record_id,Identified Commodities
NI 43-101 Technical Report for the Footwall Foy Project in North America dated July 2004.pdf,02226facf3218bc3ac5600ea372a971656b7ea477d3a1144aaa3f94ac476b0a10e,"nickel, copper, gold, platinum, palladium, silver"
NI 43-101 Technical Report for the Marathon Project in North America dated October 2006.pdf,02f973c7f9d847a305032fa4ec221182d8aa7e4e44677bc78d114c9c6d47cdfb08,"copper, gold, platinum, palladium"
NI 43-101 Technical Report for the Turnagain Project in North America dated June 2003.pdf,02a432b7e0c3f5432c7606759a6851e66a8f45094d522fa7c4c460084d9a5ddbc9,"nickel, cobalt, copper, platinum, palladium"
NI 43-101 Technical Report for the Big Trout Project in North America dated October 1999.pdf,020fefcd56454cdc8542476524e4616ebaaad680a7cdc314917b1c60d00e5758cd,"platinum-group elements, chromium, copper, nickel, sulfur"
"NI 43-101 Technical Report for the Waterberg Project in North America, Greenland dated February 2013.pdf",02f3529b20e1822617353f1770351944e9d48ab858120860779e7d89f724f45876,"platinum-group elements, gold, copper, nickel"
NI 43-101 Technical Report for the Graham Project in North America dated January 2009.pdf,023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548,"nickel, copper, cobalt, gold, platinum, palladium, silver, sulfur"
NI 43-101 Technical Report for the Nickel Offsets Project in North America dated October 2002.pdf,02ed355664e8b66f29f9c77f903678f0135e12846f18ff77074133f563a4041380,"nickel, copper, platinum, palladium, gold, cobalt, iron"
"NI 43-101 Technical Report for the AT project in Canada dated February, 2021.pdf",0262b81dc812901025638ea2f05f1b4f792e35157e2dcfa47dcfd54d09813d9e4e,"arsenic, gold, cobalt, chromium, copper, silver, iron, mercury, lead, zinc, platinum-group elements, nickel, magnesium, vanadium, manganese"
"NI 43-101 Technical Report for the Maniitsoq Project in North America, Greenland dated May 2016.pdf",026fe63791820174db08d5252260412f05dc9f62ec2a255c47788bc93442639d0a,"nickel, copper, cobalt, platinum, palladium, gold, sulfur"
"NI 43-101 Technical Report for the Northmet Project in Minnesota, United States dated April 2006.pdf",024e6141887ad52eafdbffe9ba2d278e9d9f24a109dd6b6f907ab6a2825e021dc0,"cobalt, copper, gold, nickel, platinum-group elements, platinum, palladium, silver"
NI 43-101 Technical Report for the East Rim-West Rim Project in North America dated September 2008.pdf,023ea2f158c10fbb2684c5f57e26717a44ae25587460edb01d80d4cff7b60cd4e3,"nickel, copper, platinum-group elements, chrome, vanadium"
NI 43-101 Technical Report for the Retty Lake Project in North America dated March 2010.pdf,02731dec034b83820f6ac3bdb87ffc7611cf258c9b4995a9ca786b792a97bd75e7,"copper, nickel, platinum, palladium"
